version 1, schema _kv_morale_tables
Key(string)	Value(float)
"blood_bonus_12"	7
"blood_bonus_5"	2
"blood_bonus_7"	4
"broken_finish_base_timeout"	600
"charge_bonus"	5
"charge_timeout"	90
"defensive_fort"	10
"extended_casualties_penalty_10"	-2
"extended_casualties_penalty_15"	-4
"extended_casualties_penalty_33"	-6
"extended_casualties_penalty_50"	-8
"extended_casualties_penalty_80"	-15
"fear_effect_range"	50
"fighting_cavalry"	-4
"morale_base"	0
"recent_casualties_penalty_10"	-4
"recent_casualties_penalty_15"	-6
"recent_casualties_penalty_33"	-8
"recent_casualties_penalty_50"	-15
"recent_casualties_penalty_6"	-1
"recent_casualties_shock_threshold"	20
"routing_unit_effect_distance_flank"	30
"routing_unit_effect_distance_front"	75
"surprise_timeout"	300
"total_casualties_penalty_20"	-1
"total_casualties_penalty_40"	-3
"total_casualties_penalty_60"	-10
"total_casualties_penalty_80"	-35
"total_casualties_penalty_90"	-50
"ume_concerned_army_destruction"	-20
"ume_concerned_attacked_by_artillery"	-4
"ume_concerned_attacked_by_projectile"	-2
"ume_concerned_exhausted"	-4
"ume_concerned_flanks_exposed_multiple"	-2
"ume_concerned_flanks_exposed_single"	-1
"ume_concerned_general_dead"	-2
"ume_concerned_general_died_recently"	-6
"ume_concerned_general_fled_recently"	-6
"ume_concerned_horses_frightened"	-4
"ume_concerned_panic"	-50
"ume_concerned_surprised"	-7
"ume_concerned_tired"	-1
"ume_concerned_unit_frightened"	-4
"ume_concerned_very_tired"	-2
"ume_encouraged_flanks_secure"	4
"ume_encouraged_inspired"	6
"ume_encouraged_on_the_hill"	4
"ums_broken_threshold_lower"	-15
"ums_broken_threshold_upper"	-2
"ums_confident_threshold_lower"	8
"ums_confident_threshold_upper"	30
"ums_eager_threshold_lower"	24
"ums_eager_threshold_upper"	50
"ums_impetuous_threshold_lower"	50
"ums_shaken_threshold_lower"	-3
"ums_shaken_threshold_upper"	2
"ums_steady_threshold_lower"	0
"ums_steady_threshold_upper"	10
"ums_wavering_threshold_lower"	-5
"ums_wavering_threshold_upper"	-1
"was_attacked_in_flank"	-3
"was_attacked_in_front"	0
"was_attacked_in_rear"	-5
"waver_base_timeout"	40
