version 2, schema character_skill_node_links_tables, guid dbe4c12c-61d9-4be4-b5e8-e9690ed8b671
unknown1(string)	unknown2(int)	unknown3(string)	unknown4(int)	unknown5(int)
"bos_geisha_node_2_observation"	1	"bos_geisha_node_1_attendant"	1	0
"bos_geisha_node_3_charmer"	1	"bos_geisha_node_1_attendant"	-1	0
"bos_geisha_node_3_hostess"	1	"bos_geisha_node_1_attendant"	0	0
"bos_geisha_node_2_tradition"	1	"bos_geisha_node_1_entertainer"	-1	0
"bos_geisha_node_3_siren"	1	"bos_geisha_node_1_entertainer"	1	0
"bos_geisha_node_3_solacer"	1	"bos_geisha_node_1_entertainer"	0	0
"bos_geisha_node_4_wit"	1	"bos_geisha_node_3_charmer"	1	0
"bos_geisha_node_5_entrepreneur"	1	"bos_geisha_node_3_charmer"	0	-1
"bos_geisha_node_5_temptress"	1	"bos_geisha_node_3_charmer"	-1	1
"bos_geisha_node_4_entourage"	1	"bos_geisha_node_3_hostess"	1	0
"bos_geisha_node_5_entrepreneur"	1	"bos_geisha_node_3_hostess"	0	1
"bos_geisha_node_4_allure"	1	"bos_geisha_node_3_siren"	-1	0
"bos_geisha_node_5_artiste"	1	"bos_geisha_node_3_siren"	0	1
"bos_geisha_node_5_temptress"	1	"bos_geisha_node_3_siren"	1	-1
"bos_geisha_node_4_empathy"	1	"bos_geisha_node_3_solacer"	-1	0
"bos_geisha_node_5_artiste"	1	"bos_geisha_node_3_solacer"	0	-1
"bos_general_node_2_logistics"	1	"bos_general_node_1_aggressor"	-1	0
"bos_general_node_2_raiding"	1	"bos_general_node_1_aggressor"	1	0
"bos_general_node_3_indomitable_warrior"	1	"bos_general_node_1_aggressor"	0	0
"bos_general_node_3_vanguard"	1	"bos_general_node_1_aggressor"	0	0
"bos_general_node_2_covert_ops"	1	"bos_general_node_1_defender"	-1	0
"bos_general_node_2_scouting"	1	"bos_general_node_1_defender"	1	0
"bos_general_node_3_guardian"	1	"bos_general_node_1_defender"	0	0
"bos_general_node_3_inspiring_leader"	1	"bos_general_node_1_defender"	0	0
"bos_general_node_4_alacrity"	1	"bos_general_node_3_guardian"	1	0
"bos_general_node_4_provision"	1	"bos_general_node_3_guardian"	-1	0
"bos_general_node_5_legendary_commander"	1	"bos_general_node_3_guardian"	0	-1
"bos_general_node_5_paragon"	1	"bos_general_node_3_guardian"	0	1
"bos_general_node_4_audacity"	1	"bos_general_node_3_indomitable_warrior"	-1	0
"bos_general_node_4_dread"	1	"bos_general_node_3_indomitable_warrior"	1	0
"bos_general_node_5_scourge"	1	"bos_general_node_3_indomitable_warrior"	0	1
"bos_general_node_4_honour"	1	"bos_general_node_3_inspiring_leader"	-1	0
"bos_general_node_4_presence"	1	"bos_general_node_3_inspiring_leader"	1	0
"bos_general_node_5_paragon"	1	"bos_general_node_3_inspiring_leader"	0	-1
"bos_general_node_4_offense"	1	"bos_general_node_3_vanguard"	-1	0
"bos_general_node_4_precision"	1	"bos_general_node_3_vanguard"	1	0
"bos_general_node_5_legendary_commander"	1	"bos_general_node_3_vanguard"	0	1
"bos_general_node_5_scourge"	1	"bos_general_node_3_vanguard"	0	-1
"bos_ishinshishi_node_2_zeal"	1	"bos_ishinshishi_node_1_instigator"	-1	0
"bos_ishinshishi_node_3_killer"	1	"bos_ishinshishi_node_1_instigator"	0	0
"bos_ishinshishi_node_3_militant"	1	"bos_ishinshishi_node_1_instigator"	1	0
"bos_ishinshishi_node_2_corruption"	1	"bos_ishinshishi_node_1_mediator"	1	0
"bos_ishinshishi_node_3_activist"	1	"bos_ishinshishi_node_1_mediator"	-1	0
"bos_ishinshishi_node_3_persuader"	1	"bos_ishinshishi_node_1_mediator"	0	0
"bos_ishinshishi_node_4_single_mindedness"	1	"bos_ishinshishi_node_3_activist"	1	0
"bos_ishinshishi_node_5_arch_imperialist"	1	"bos_ishinshishi_node_3_activist"	0	-1
"bos_ishinshishi_node_5_revolutionary"	1	"bos_ishinshishi_node_3_activist"	-1	1
"bos_ishinshishi_node_4_cold_bloodedness"	1	"bos_ishinshishi_node_3_killer"	-1	0
"bos_ishinshishi_node_5_inexorable_force"	1	"bos_ishinshishi_node_3_killer"	0	-1
"bos_ishinshishi_node_4_solidarity"	1	"bos_ishinshishi_node_3_militant"	-1	0
"bos_ishinshishi_node_5_inexorable_force"	1	"bos_ishinshishi_node_3_militant"	0	1
"bos_ishinshishi_node_5_revolutionary"	1	"bos_ishinshishi_node_3_militant"	1	-1
"bos_ishinshishi_node_4_deception"	1	"bos_ishinshishi_node_3_persuader"	1	0
"bos_ishinshishi_node_5_arch_imperialist"	1	"bos_ishinshishi_node_3_persuader"	0	1
"bos_shinobi_node_2_awareness"	1	"bos_shinobi_node_1_criminal_agent"	1	0
