version 1, schema battle_sky_types_tables
Sky_Type_ID(string)	Season(string)	Weather_IDRef(string)	Time_of_day(string)	Area(optstring)	Environment(string)	unknown1(boolean)	unknown2(boolean)
"sc_tropic_coast_evening_overcast_4_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_overcast_4.environment"	false	false
"sc_tropic_coast_evening_cloudy_2_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_cloudy_2.environment"	false	false
"sc_tropic_coast_evening_cloudy_4_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_cloudy_4.environment"	false	false
"sc_tropic_coast_evening_overcast_6_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_overcast_6.environment"	false	false
"sc_tropic_coast_evening_cloudy_3_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_cloudy_3.environment"	false	false
"sc_tropic_coast_evening_overcast_3_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_overcast_3.environment"	false	false
"sc_tropic_coast_evening_overcast_5_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_overcast_5.environment"	false	false
"sc_tropic_coast_evening_cloudy_1_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_cloudy_1.environment"	false	false
"sc_tropic_coast_evening_cloudy_5_heavy_rain_summer"	"season_summer"	"heavy_rain"	"evening"	"sc_tropic_coast"	"summer/evening_cloudy_5.environment"	false	false
"sc_tropic_coast_morning_cloudy_0_heavy_rain_summer"	"season_summer"	"heavy_rain"	"morning"	"sc_tropic_coast"	"summer\\sea\\morning_cloudy_0.environment"	false	false
"sc_tropic_coast_morning_overcast_1_heavy_rain_summer"	"season_summer"	"heavy_rain"	"morning"	"sc_tropic_coast"	"summer\\sea\\morning_overcast_1.environment"	false	false
"sc_tropic_coast_day_cloudy_0_heavy_snow_summer"	"season_summer"	"heavy_snow"	"afternoon"	"sc_tropic_coast"	"summer\\sea\\day_cloudy_0.environment"	false	false
"sc_tropic_coast_day_overcast_1_heavy_snow_summer"	"season_summer"	"heavy_snow"	"afternoon"	"sc_tropic_coast"	"summer\\sea\\day_overcast_1.environment"	false	false
