version 1, schema historical_characters_tables
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)
"abraham_de_moivre"	false	"m"	"gentleman"	"france"	1687	1754	"math2"
"abraham_gotthelf_kastner"	false	"m"	"gentleman"	"prussia"	1739	1800	"math2"
"abraham_gottlob_werner"	false	"m"	"gentleman"	"prussia"	1769	1817	"geologist"
"adam_duncan"	true	"m"	"admiral"	"britain"	1751	1804	"British Admiral"
"adam_gottlob_moltke"	false	"m"	"minister"	"denmark"	1730	1792	"diplomat conservative"
"adam_smith"	false	"m"	"gentleman"	"britain"	1743	1790	"economist5"
"adrien_legendre"	false	"m"	"gentleman"	"france"	1772	1833	"math4"
"ahmed_resmi_efendi"	false	"m"	"gentleman"	"ottomans"	1714	1783	"n"
"aleksander_august_zamoyski"	false	"m"	"minister"	"poland_lithuania"	1760	1800	"n"
"alexander_gottlieb_baumgarten"	false	"m"	"gentleman"	"prussia"	1734	1762	"philosopher2 aesthetics"
"alexander_hamilton"	false	"m"	"minister"	"united_states"	1775	1804	"whig economist3"
"alexander_pope"	false	"m"	"gentleman"	"britain"	1708	1744	"British Poet"
"alexander_rumyantsev"	true	"m"	"minister"	"russia"	1697	1749	"Russian Minister"
"alexander_vasilyevich_suvorov"	true	"m"	"General"	"russia"	1749	1800	"superb general (never lost a battle)"
"alexis_clairault"	false	"m"	"gentleman"	"france"	1733	1765	"math2"
"anders_chydenius"	false	"m"	"gentleman"	"sweden"	1749	1803	"philosopher1 liberalist capitalist"
"anders_sparrman"	false	"m"	"gentleman"	"sweden"	1768	1820	"naturalist"
"andre_massena"	false	"m"	"General"	"france"	1778	1817	"defender commander2"
"andreas_felix_von_oefele"	true	"m"	"gentleman"	"bavaria"	1726	1780	"historian"
"andreas_hadik"	false	"m"	"General"	"austria"	1730	1790	"cavalry focus"
"andreas_hofer"	false	"m"	"General"	"austria"	1787	1810	"militia leader, national hero"
"andreas_marggraf"	false	"m"	"gentleman"	"westphalia"	1729	1782	"chemist, phosphorous"
"andrew_meikle"	false	"m"	"gentleman"	"britain"	1739	1811	"agriculture tech 3 (threshing machine)"
"andrew_plumber"	false	"m"	"gentleman"	"britain"	1700	1756	"n"
"andrey_timofeyevich_bolotov"	false	"m"	"gentleman"	"russia"	1758	1833	"agriculturist5"
"antoich_kantemir"	false	"m"	"gentleman"	"russia"	1728	1741	"enlightened thinker, diplomat"
"anton_van_leeuwenhoek"	false	"m"	"gentleman"	"netherlands"	1652	1723	"microscope"
"anton_wilhelm_von_lestocq"	true	"m"	"General"	"prussia"	1758	1815	"Saxon General, fought for Prussia"
"antonio_de_ulloa"	false	"m"	"gentleman"	"spain"	1736	1795	"peru exploration, louisiana governor"
"arnold_drakenborch"	false	"m"	"gentleman"	"netherlands"	1704	1748	"philologist"
"artemy_volynsky"	false	"m"	"minister"	"russia"	1709	1740	"Russian Minister"
"arthur_wellesley"	true	"m"	"General"	"britain"	1789	1852	"British General"
"augustin_luyando"	false	"m"	"gentleman"	"spain"	1717	1764	"neoclassicist dramatist"
"augustus_keppel"	true	"m"	"admiral"	"britain"	1745	1786	"British Admiral"
"baji_rao_i"	false	"m"	"General"	"maratha"	1719	1740	"n"
"banastre_tarleton"	true	"m"	"colonel"	"britain"	1774	1833	"British Colonel"
"barry_stledger"	false	"m"	"colonel"	"britain"	1753	1789	"British Colonel"
"bartolomeo_rastrelli"	false	"m"	"minister"	"russia"	1720	1771	"court architect"
"beauchamp_bagenal"	false	"m"	"rake"	"britain"	1761	1802	"British Rake"
"benedict_arnold"	false	"m"	"General"	"britain"	1761	1801	"British General"
"benjamin_banneker"	false	"m"	"gentleman"	"united_states"	1751	1806	"math1 abolitionist (black)"
"benjamin_child"	false	"m"	"rake"	"britain"	1700	1722	"British Rake"
"benjamin_thompson"	false	"m"	"gentleman"	"united_states"	1773	1814	"physicist2"
"bernardo_de_galvez"	true	"m"	"General"	"spain"	1766	1786	"attacker, colony focus"
"bestuzhev_ryumin"	true	"m"	"minister"	"russia"	1713	1768	"Russian Minister"
"bestuzhev_ryumin_2"	true	"m"	"minister"	"russia"	1684	1742	"Russian Minister"
