version 1, schema _kv_key_buildings_tables, guid eec00561-9f52-4dd4-bb22-735fdfcc6dce
unknown1(string)	unknown2(float)
"archery_dojo_ammo_replenish_rate_local_modifier"	0.07
"archery_dojo_reload_skill_global_modifier"	20
"cooperative_capture_max_units"	3
"cooperative_capture_modifier"	1.33
"farmhouse_fatigue_modifier"	-0.35
"farmhouse_speed_global_modifier"	0.15
"fort_tower_fire_frequency_large"	1.33
"fort_tower_fire_frequency_medium"	1.66
"fort_tower_fire_frequency_small"	2
"fort_tower_fire_frequency_ultra"	1
"gate_capture_time"	15
"keep_capture_time"	60
"key_building_capture_time"	110
"local_bonus_radius"	55
"rapid_capture_modifier"	1.33
"shrine_morale_global_modifier"	3
"shrine_morale_local_modifier"	0
"sword_dojo_charge_bonus_global_modifier"	5
"sword_dojo_charge_bonus_local_modifier"	0
"sword_dojo_melee_attack_global_modifier"	2
"sword_dojo_melee_attack_local_modifier"	0
"tower_capture_time"	15
"workshop_armour_global_modifier"	2
"workshop_armour_local_modifier"	0
"workshop_defence_global_modifier"	3
"workshop_defence_local_modifier"	0
