version 3, schema avatar_traits_tables, guid d065895d-711a-414b-9350-78c57ed525c9
unknown1(string)	unknown2(int)
"Boshin_avatar_trait_skills_bushido_1"	84
"Boshin_avatar_trait_skills_bushido_2"	88
"Boshin_avatar_trait_skills_bushido_3"	96
"Boshin_avatar_trait_skills_bushido_4"	99
"Boshin_avatar_trait_skills_bushido_5"	105
"Boshin_avatar_trait_skills_command_1"	54
"Boshin_avatar_trait_skills_command_2"	61
"Boshin_avatar_trait_skills_command_3"	62
"Boshin_avatar_trait_skills_command_4"	72
"Boshin_avatar_trait_skills_command_5"	78
"Boshin_avatar_trait_skills_gunpowder_1"	25
"Boshin_avatar_trait_skills_gunpowder_2"	31
"Boshin_avatar_trait_skills_gunpowder_3"	38
"Boshin_avatar_trait_skills_gunpowder_4"	43
"Boshin_avatar_trait_skills_gunpowder_5"	49
"avatar_trait_army_artillery"	1
"avatar_trait_army_balanced"	2
"avatar_trait_army_cavalry"	3
"avatar_trait_army_melee_infantry"	4
"avatar_trait_army_missile_infantry"	5
"avatar_trait_coward"	6
"avatar_trait_skills_bow_1"	7
"avatar_trait_skills_bow_2"	8
"avatar_trait_skills_bow_3"	9
"avatar_trait_skills_bow_4"	10
"avatar_trait_skills_bow_5"	11
"avatar_trait_skills_leadership_1"	12
"avatar_trait_skills_leadership_2"	13
"avatar_trait_skills_leadership_3"	14
"avatar_trait_skills_leadership_4"	15
"avatar_trait_skills_leadership_5"	16
"avatar_trait_skills_melee_1"	17
"avatar_trait_skills_melee_2"	18
"avatar_trait_skills_melee_3"	19
"avatar_trait_skills_melee_4"	20
"avatar_trait_skills_melee_5"	21
"avatar_trait_skills_physical_1"	22
"avatar_trait_skills_physical_2"	23
"avatar_trait_skills_physical_3"	24
