version 1, schema warscape_rigid_tables
Filename_x0020_WR_ID(string)	Texture_path(string)	Category(string)
"kotetsu_stern_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_stern_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_stern_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_starb_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_starb_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_starb_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_port_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_port_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_port_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_mast_02_dm2"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_mast_02_dm1"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_mast_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_mast_01_dm1"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_bow_01_dm3"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_bow_01_dm2"	"RigidModels/Naval/Textures"	"ship"
"kotetsu_bow_01_dm1"	"RigidModels/Naval/Textures"	"ship"
