version 2, schema videos_tables
unknown1(string)	unknown2(string)	unknown3(int)
"Corei7_Intro.bik"	"FULLSCREEN_INTRO"	0
"EUR_CON_VIC.bik"	"CAMPAIGN_WIN"	1
"EUR_Lose_AUS.bik"	"CAMPAIGN_LOSE"	1
"EUR_Lose_FR.bik"	"CAMPAIGN_LOSE"	1
"EUR_Lose_PR.bik"	"CAMPAIGN_LOSE"	1
"EUR_Lose_RUS.bik"	"CAMPAIGN_LOSE"	1
"EUR_Lose_UK.bik"	"CAMPAIGN_LOSE"	1
"EUR_Mon_Rev_Start.bik"	"CAMPAIGN_REVOLUTION"	1
"EUR_Mon_Rev_Win.bik"	"CAMPAIGN_REVOLUTION"	1
"EUR_MON_VIC.bik"	"CAMPAIGN_WIN"	1
"EUR_Rep_Rev_Start.bik"	"CAMPAIGN_REVOLUTION"	1
"EUR_Rep_Rev_Win.bik"	"CAMPAIGN_REVOLUTION"	1
"EUR_REP_VIC.bik"	"CAMPAIGN_WIN"	1
"Frontend.bik"	"FULLSCREEN_FRONTEND"	0
"funeral_00.bik"	"CAMPAIGN_DUEL_RESULT"	1
"Hospital_00.bik"	"CAMPAIGN_DUEL_RESULT"	1
"NCS_01_Tut_Intro.bik"	"CAMPAIGN_INTRO"	8
"NCS_02_Tut_Outro.bik"	"CAMPAIGN_OUTRO"	8
"NCS_03_Ita_Intro.bik"	"CAMPAIGN_INTRO"	8
"NCS_04_Ita_Outro.bik"	"CAMPAIGN_OUTRO"	8
"NCS_05_Egy_Intro.bik"	"CAMPAIGN_INTRO"	8
"NCS_06_Egy_Outro.bik"	"CAMPAIGN_OUTRO"	8
"NCS_07_Eur_Intro.bik"	"CAMPAIGN_INTRO"	8
"NCS_08_Eur_Outro.bik"	"CAMPAIGN_OUTRO"	8
"NCS_09_Waterloo.bik"	"FULLSCREEN_BATTLE_INTRO"	8
"NCS_10_Win.bik"	"CAMPAIGN_WIN"	8
"NCS_11_Lose.bik"	"CAMPAIGN_LOSE"	8
"NHB_01_Arcole.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_02_Pyramids.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_03_Nile.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_04_Austerlitz.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_05_Trafalgar.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_06_Borodino.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_07_Dresden.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_08_Ligny.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_09_Waterloo.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_SE_01_Lodi.bik"	"WINDOWED_BATTLE_INTRO"	8
"NHB_SE_02_Friedland.bik"	"WINDOWED_BATTLE_INTRO"	8
"NTW_Intro.bik"	"FULLSCREEN_INTRO"	8
"OTT_CON_VIC.bik"	"CAMPAIGN_WIN"	8
"OTT_MON_VIC.bik"	"CAMPAIGN_WIN"	8
"OTT_REP_VIC.bik"	"CAMPAIGN_WIN"	8
"Ottoman_Lose_battle.bik"	"CAMPAIGN_LOSE"	1
"Pistol_GVG_GGI_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_GVG_GGK_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_GVG_GGK_01.bik"	"CAMPAIGN_DUEL"	1
"Pistol_GVG_RGI_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_GVG_RGK_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_RVG_GI_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_RVG_GK_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_RVG_RI_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_RVG_RK_00.bik"	"CAMPAIGN_DUEL"	1
"Pistol_RVG_RK_01.bik"	"CAMPAIGN_DUEL"	1
"SEGA_logo_sting_HD.bik"	"FULLSCREEN_INTRO"	1
"Social_gent_00.bik"	"CAMPAIGN_DUEL_RESULT"	1
"Social_rake_00.bik"	"CAMPAIGN_DUEL_RESULT"	1
"Surgery_00.bik"	"CAMPAIGN_DUEL_RESULT"	1
"Sword_GVG_GGI_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_GVG_GGK_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_GVG_GGK_01.bik"	"CAMPAIGN_DUEL"	1
"Sword_GVG_RGI_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_GVG_RGK_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_GVG_RGK_01.bik"	"CAMPAIGN_DUEL"	1
"Sword_RVG_GI_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_RVG_GK_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_RVG_GK_01.bik"	"CAMPAIGN_DUEL"	1
"sword_RVG_RI_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_RVG_RK_00.bik"	"CAMPAIGN_DUEL"	1
"Sword_RVG_RK_01.bik"	"CAMPAIGN_DUEL"	1
"NTW_Gameplay_Trailer_02_Demo.bik"	"FULLSCREEN_INTRO"	6
"NTW_Gameplay_Trailer_03_Demo.bik"	"FULLSCREEN_INTRO"	6
"WEL_Waterloo.bik"	"WINDOWED_BATTLE_INTRO"	1
"Frontend2.bik"	"FULLSCREEN_FRONTEND"	0
"EUR_Lose_SP.bik"	"CAMPAIGN_LOSE"	1
