version 1, schema religions_tables, guid edb86bce-6e96-4ca7-a21b-d34b66b5c8dc
Religion_ID(string)	unknown2(int)	Graphic_path(string)
"inf_bos_imperial"	0	"data/ui/campaign ui/skins/bos_religion_imperial.tga"
"inf_bos_self"	0	"data/ui/campaign ui/skins/bos_religion_neutral.tga"
"inf_bos_shogunate"	0	"data/ui/campaign ui/skins/bos_religion_shogonate.tga"
"inf_gem_fujiwara"	0	"data/ui/campaign ui/skins/religion_fujiwara.tga"
"inf_gem_minamoto"	0	"data/ui/campaign ui/skins/religion_minamoto.tga"
"inf_gem_neutral"	0	"data/ui/campaign ui/pips/nonconformism.tga"
"inf_gem_taira"	0	"data/ui/campaign ui/skins/religion_taira.tga"
"rel_animist"	9	"data/ui/campaign ui/pips/animism.tga"
"rel_buddhist"	9	"data/ui/campaign ui/skins/religion_buddist.tga"
"rel_catholic"	9	"data/ui/campaign ui/skins/religion_christian.tga"
"rel_hindu"	3	"data/ui/campaign ui/pips/hindu.tga"
"rel_ikko"	9	"data/ui/campaign ui/skins/religion_jodo_shinshu.tga"
"rel_islamic"	2	"data/ui/campaign ui/pips/islamic.tga"
"rel_nonconformist"	2	"data/ui/campaign ui/pips/nonconformism.tga"
"rel_orthodox"	4	"data/ui/campaign ui/pips/orthodox.tga"
"rel_protestant"	3	"data/ui/campaign ui/pips/protestant.tga"
"rel_sikh"	3	"data/ui/campaign ui/pips/sikh.tga"
