version 1, schema building_level_required_technology_junctions_tables, guid 99df1b9b-330a-4034-be4d-3edccb52c17f
Building_IDRef(string)	Tech_IDRef(string)
"GEM_Buddhist_2_Buddhist_Temple"	"gempei_civil_religion_confucianism"
"GEM_Buff_1_Encampment"	"gempei_military_general_forms_of_the_earth"
"GEM_Bushi_2_Bushi_School"	"gempei_military_core_bushi"
"GEM_Bushi_3_Bushi_Dojo"	"gempei_military_core_samurai_way"
"GEM_Bushi_4_Legendary_Bushi_Dojo"	"gempei_military_core_samurai_code"
"GEM_Castle_4_Castle"	"gempei_civil_core_way_of_chi"
"GEM_Clan_2_Mandokoro"	"gempei_civil_core_rice_loans"
"GEM_Clan_3_Province_Magistrate"	"gempei_civil_core_tax_quota"
"GEM_Clan_4_Fujiwara_Palace"	"gempei_civil_core_todofuken"
"GEM_Clan_4_Minamoto_Palace"	"gempei_civil_core_todofuken"
"GEM_Clan_4_Taira_Palace"	"gempei_civil_core_todofuken"
"GEM_Economy_4_Grain_Warehouse"	"gempei_civil_core_way_of_chi"
"GEM_Economy_4_Merchant_Guild"	"gempei_civil_core_way_of_chi"
"GEM_Farming_3_Horse_Breeders"	"gempei_military_horse_form"
"GEM_Farming_3_Rice_Paddies"	"gempei_civil_province_iron_manufacturing"
"GEM_Farming_4_Improved_Irrigation"	"gempei_civil_province_plough_and_oxen"
"GEM_Farming_4_Warhorse_Studs"	"gempei_military_horse_horse_mastery"
"GEM_Gov_4_Arsenal"	"gempei_military_core_bushido"
"GEM_Gov_4_Kondeidokoro"	"gempei_military_core_bushido"
"GEM_Intellectual_2_Calligraphy_School"	"gempei_civil_core_poetry_and_literature"
"GEM_Intellectual_3_Provincial_Academy"	"gempei_civil_core_taoist_thinking"
"GEM_Intellectual_4_Confucian_Academy"	"gempei_civil_core_tang_military"
"GEM_Koryu_2_Koryu_School"	"gempei_military_core_koryu"
"GEM_Koryu_3_Koryu_Dojo"	"gempei_military_core_the_old_way"
"GEM_Koryu_4_Legendary_Koryu_Dojo"	"gempei_military_core_old_way_mastery"
"GEM_Region_Specialty_Holy_Site_3_Fortified_Monaste"	"gempei_civil_religion_ceremony_and_ritual"
"GEM_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	"gempei_civil_religion_ceremony_and_ritual"
"SHO_Archery_2_Foot_Archery"	"shogun_military_bow_way_of_the_bow"
"SHO_Archery_3_Bow_Master_Dojo"	"shogun_military_bow_bow_expertise"
"SHO_Archery_4_Legendary_Dojo"	"shogun_military_bow_kyujutsu_mastery"
"SHO_Buddhist_1_Temple"	"shogun_civil_core_zen"
"SHO_Buddhist_2_Monastery"	"shogun_civil_religion_essence_of_the_spirit"
"SHO_Buddhist_3_Temple_Complex"	"shogun_civil_religion_scholarship"
"SHO_Buddhist_4_Legendary_Temple"	"shogun_civil_religion_neo_confucianism"
"SHO_Buff_1_Encampment"	"shogun_military_core_heaven_and_earth"
"SHO_Castle_5_Citadel"	"shogun_civil_core_epic_architecture"
"SHO_Cavalry_3_Bajutsu_Master"	"shogun_military_core_form"
"SHO_Cavalry_4_Legendary_Bajutsu_Dojo"	"shogun_military_core_horse_mastery"
"SHO_Christian_2_Hospital"	"shogun_civil_religion_otomo_essence_of_the_spirit"
"SHO_Christian_2_Mission"	"shogun_civil_religion_essence_of_the_spirit"
"SHO_Christian_3_Church"	"shogun_civil_religion_scholarship"
"SHO_Christian_3_Jesuit_Seminar"	"shogun_civil_religion_religious_self_sufficiency"
"SHO_Christian_4_Cathedral"	"shogun_civil_religion_neo_confucianism"
"SHO_Christian_4_Jesuit_College"	"shogun_civil_religion_religious_propagation"
"SHO_Crafts_1_Market"	"shogun_civil_core_way_of_chi"
"SHO_Crafts_2_Rice_Exchange"	"shogun_civil_core_todofuken"
"SHO_Crafts_3_Merchant_Guild"	"shogun_civil_core_tax_reform"
"SHO_Crafts_4_Kanabukama"	"shogun_civil_province_kinza_mint"
"SHO_Farming_3_Terraces"	"shogun_civil_province_equal_fields"
"SHO_Farming_4_Consolidation"	"shogun_civil_province_chonindo"
"SHO_Ikko_Temple_1_Jodo_Shinshu_Temple"	"shogun_civil_core_zen"
"SHO_Ikko_Temple_2_Jodo_Shinshu_Monastery"	"shogun_civil_religion_essence_of_the_spirit"
"SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monastery"	"shogun_civil_religion_scholarship"
"SHO_Ikko_Temple_4_Jodo_Shinshu_Honganji"	"shogun_civil_religion_neo_confucianism"
"SHO_Infrastructure_2_Post_Stations"	"shogun_civil_core_todofuken"
"SHO_Infrastructure_3_Imperial_Roads"	"shogun_civil_core_epic_architecture"
"SHO_Port_4_Drydock"	"shogun_military_naval_mastery_of_the_waves"
"SHO_Region_Specialty_Craftwork_3_Laquerware"	"shogun_civil_province_chonindo"
"SHO_Region_Specialty_Craftwork_3_Master_Bowmaker"	"shogun_civil_province_chonindo"
"SHO_Region_Specialty_Holy_Site_3_Fortified_Monaste"	"shogun_civil_core_traditional_building"
"SHO_Region_Specialty_Holy_Site_3_Great_Soja_Shrine"	"shogun_civil_core_traditional_building"
"SHO_Region_Specialty_Horses_3_Warhorse_Breeders"	"shogun_military_core_horse_mastery"
"SHO_Region_Specialty_Intellectual_Centre_3_Academy"	"shogun_civil_core_calligraphy"
"SHO_Region_Specialty_Intellectual_Centre_3_Law_Cou"	"shogun_civil_core_calligraphy"
"SHO_Region_Specialty_Naval_3_Pirate_Fortress"	"shogun_military_naval_naval_expertise"
"SHO_Region_Specialty_Naval_3_Red_Seal_Company"	"shogun_military_naval_naval_expertise"
"SHO_Region_Specialty_Ninja_3_Clan_Fortress"	"shogun_civil_ninja_school_of_shinobi"
"SHO_Region_Specialty_Ninja_3_Smuggling_Network"	"shogun_civil_ninja_school_of_shinobi"
"SHO_Siege_1_Workshop"	"shogun_military_core_strategy_of_attack"
"SHO_Siege_2_Powder_Maker"	"shogun_military_musket_attack_by_fire"
"SHO_Siege_3_Gunsmith"	"shogun_military_musket_teppo_mastery"
"SHO_Stealth_3_Criminal_Syndicate"	"shogun_civil_ninja_school_of_shinobi"
"SHO_Stealth_4_Mizu_Shobai"	"shogun_civil_ninja_ninjutsu_mastery"
"SHO_Sword_1_Sword_School"	"shogun_military_core_bushido"
"SHO_Sword_2_Nodachi"	"shogun_military_sword_way_of_the_sword"
"SHO_Sword_3_Master_Dojo"	"shogun_military_sword_sword_expertise"
"SHO_Sword_4_Legendary_Dojo"	"shogun_military_sword_kenjutsu_mastery"
"SHO_Yari_2_Naginata_Dojo"	"shogun_military_core_strategy_of_defence"
"SHO_Yari_3_Master_Dojo"	"shogun_military_spear_spear_expertise"
"SHO_Yari_4_Legendary_School"	"shogun_military_spear_sojutsu_mastery"
"bos_artillery_3_artillery_academy"	"boshin_military_imported_guns"
"bos_artillery_4_arsenal"	"boshin_military_modern_army"
"bos_buff_1_training_camp"	"boshin_civil_domain_and_the_realm"
"bos_castle_6_star_fort"	"boshin_military_late_line_infantry"
"bos_criminal_4_junin_ryogae"	"boshin_civil_gold_standard"
"bos_defenses_3_matchlock_towers"	"boshin_military_improved_defences"
"bos_defenses_4_gatling_gun_towers"	"boshin_military_gatling_gun"
"bos_defenses_5_wall_guns_and_gatling_gun_towers"	"boshin_military_late_line_infantry"
"bos_farming_4_zaibatsu_fields"	"boshin_civil_abolition_of_land_restriction"
"bos_foundation_4_municipalty"	"boshin_civil_restoration_of_the_domain"
"bos_foundation_5_prefecture"	"boshin_civil_charter_oath"
"bos_industry_3_manufactory"	"boshin_civil_capitalist_production"
"bos_modern_2_barracks"	"boshin_military_arms_deals"
"bos_modern_3_infantry_barracks"	"boshin_military_modern_rifles"
