version 1, schema projectiles_tables
Projectile_ID(string)	Type(string)	Shot_x0020_Type(string)	Missile_x0020_Type(string)	Model(optstring)	Projectile_Explosion_IDRef(optstring)	Trail(optstring)	Spin(string)	Number_of_Pellets(int)	In_x0020_Flight_x0020_Transition(optstring)	Trajectory_x0020_Sight(string)	Range(int)	Minimum_x0020_Range(int)	Max_x0020_Elevation(int)	Velocity(float)	Marksmanship_x0020_Bonus(float)	Maximum_deviance_x0020_from_0_to_360(float)	Damage(float)	Damage_x0020_Range_effectiveness(optstring)	Incendiary(optstring)	Blast_x0020_Effect(optstring)	Can_x0020_Bounce(boolean)	High_x0020_Air_x0020_Resistance(boolean)	Collision_x0020_Radius(float)	Base_Reload__x0020_Time_x0020__x0023_Added_to_animation(int)	Base_x0020_Misfire_x0020_Chance(int)	Weather_x0020_Effect(optstring)	Sail_x0020_Damage_x0020_Modifier(float)	Below_x0020_Waterline_x0020_Damage_x0020_Modifier(float)	Launch_x0020_Audio(string)	Hit_x0020_Audio(string)	Launch_x0020_Particle_x0020_Effect(optstring)	Projectile_x0020_Trail_x0020_Particle_x0020_Effect(optstring)	Impact(optstring)
"airgun"	"missile"	"air_pellet"	"bullet"	"projectile_musketball"	nil	"alpha_shrapnel"	"none"	1	nil	"low"	125	0	88	150	0	0	0.75	nil	nil	nil	false	false	0.1	7	6	nil	0.1	0	"airgun"	"small"	nil	nil	"musket_ball"
"bow"	"missile"	"arrow"	"arrow"	"projectile_arrow"	nil	"alpha_shrapnel"	"none"	1	nil	"low"	70	0	88	35	0	0	0.65	nil	nil	nil	false	false	0.1	8	0	"low"	0.1	0	"bow"	"small"	nil	nil	"musket_ball"
"bow_tutorial"	"missile"	"arrow"	"arrow"	"projectile_arrow"	nil	"alpha_shrapnel"	"none"	1	"n"	"low"	80	0	88	35	0	0	0.1	nil	nil	nil	false	false	0.1	8	0	"low"	0.1	0	"bow"	"small"	nil	nil	"musket_ball"
"camel_gun_shot"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	90	0	30	100	0	0	0.99	"ap"	"low"	"impact"	false	false	0.1	28	0	nil	0.1	0	"gun"	"medium"	"MusketFire"	nil	"musket_ball"
"cannon_12_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	75	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"cannon_12_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	27	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"
"cannon_12_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_12lb"	"alpha"	"shell_spin"	1	"shrapnel"	"low"	350	0	30	200	0	0	6	"low"	nil	"impact_light"	false	false	0.1	40	0	nil	0.2	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"
"cannon_18_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	nil	"low"	125	0	30	125	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"cannon_18_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	33	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"
"cannon_18_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_18lb"	"alpha"	"shell_spin"	1	"shrapnel"	"low"	350	0	30	200	0	0	6	"low"	nil	"impact_light"	false	false	0.1	40	0	nil	0.2	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"
"cannon_24_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	125	0	30	125	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"
"cannon_24_pounder_early_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	38	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"cannon_24_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	42	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"cannon_24_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_24lb"	"alpha"	"none"	1	"shrapnel"	"low"	350	0	30	200	0	0	6	"low"	nil	"impact_light"	false	false	0.1	40	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"cannon_3_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	125	0	30	125	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"
"cannon_3_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	9	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"
"cannon_3_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_3lb"	"alpha"	"none"	1	"shrapnel"	"low"	350	0	30	150	0	0	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"
"cannon_32_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_32lb"	"alpha"	"none"	1	"shrapnel"	"low"	400	0	30	200	0	0	6	"low"	nil	"impact_light"	false	false	0.1	30	0	nil	0.2	0	"gun"	"large"	"LandGunFire_large"	nil	"default_ball"
"cannon_6_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	125	0	30	125	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"
"cannon_6_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	15	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"
"cannon_6_pounder_shrapnel"	"artillery"	"shrapnel"	"shrapnel"	"projectile_cannonbal"	"shrapnel_6lb"	"alpha"	"none"	1	"shrapnel"	"low"	350	0	30	200	0	0	6	"low"	nil	"impact"	false	false	0.1	30	0	nil	0.2	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"
"cannon_9_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	50	"n"	"low"	125	0	30	125	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	30	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"
"cannon_9_pounder_early_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	400	0	30	200	25	0	21	"high"	"low"	"impact"	true	false	0.1	30	0	nil	0.1	0	"gun"	"large"	"LandGunFire_small"	nil	"default_ball"
