version 1, schema technology_effects_junction_tables
Tech_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"admin1_abolition_of_the_inquisition"	"happy_culture_all_global"	1
"admin2_colonial_funding"	"trade_node_supply_mod"	10
"admin2_afrancesado_propaganda"	"zeal_spain"	1
"admin2_anti_french_sentiment"	"zeal_spain"	1
"admin3_bonapartist_propaganda"	"zeal_spain"	1
"admin3_bonapartist_propaganda"	"replenishment_percentage_bonus_global"	5
"admin3_anti_french_propaganda"	"zeal_spain"	1
"admin3_anti_french_propaganda"	"replenishment_percentage_bonus_global"	5
"admin4_national_fervour"	"morale_bonus"	1
"admin4_repressive_measures"	"repression_tech_faction"	1
"admin5_complete_annexation"	"happy_government_all"	-1
"admin5_complete_annexation"	"tax_bonus_technology"	15
"admin5_homeland_recruitment"	"recruitment_points"	1
"admin5_supreme_regency"	"morale_bonus"	1
"admin5_supreme_regency"	"recruitment_cost_mod_land_all_global"	-20
"military1_partisan_muskets"	"guerrilla_reward_unit_bonus"	1
"military2_auxiliary_replenishment"	"replenishment_bonus_special_auxiliary"	10
"military2_guerrilla_training_network"	"experience_mod_special_guerrilla"	1
"military3_advanced_guerrilla_training"	"experience_mod_special_guerrilla"	2
"military3_advanced_guerrilla_training"	"upkeep_cost_mod_special_guerrilla"	-15
"military3_auxiliary_discount"	"recruitment_cost_mod_special_auxiliary"	-20
"military4_auxiliary_training"	"experience_mod_special_auxiliary"	2
"military4_local_guides"	"Movement_Points_All_Land"	10
"military5_french_cipher_decryption"	"Command_Land_Attack_Spain"	1
"military5_great_paris_cipher"	"Command_Land_Attack_Spain"	1
"admin2_anti_french_sentiment"	"agent_cap_propagandist"	1
"admin2_afrancesado_propaganda"	"agent_cap_propagandist"	1
"admin3_bonapartist_propaganda"	"agent_spawn_rate_mod_propagandist"	5
"admin3_anti_french_propaganda"	"agent_spawn_rate_mod_propagandist"	5
"admin2_anti_french_sentiment"	"agent_cap_priest"	1
"admin3_anti_french_propaganda"	"agent_spawn_rate_mod_priest"	5
