version 1, schema campaign_character_anims_junctions_tables
unknown1(string)	Character(string)	unknown2(string)	Anim_filepath(string)	unknown3(string)	unknown4(optstring)	unknown5(optstring)	unknown6(float)
"-2125189416"	"rake"	"attack_trade"	"Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Highway_Idle4.anim"	"idle"	nil	nil	1
"-2061138958"	"eastern_ship"	"attack_trade"	"Animations/CampaignPieces/east_campaign_ship_anim_unfurled_traderoute_idle.anim"	"idle"	nil	nil	1
"-2026103908"	"default_human"	"siege"	"Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Seige_Idle3.anim"	"idle"	nil	nil	1
"-1961887118"	"eastern_ship"	"attack_trade"	"Animations/CampaignPieces/east_campaign_ship_anim_unfurled_sink.anim"	"action"	"die_character_stab"	nil	0
"-1904534168"	"default_human"	"attack_trade"	"Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand_to_Defence.anim"	"matched_action"	"attack_character"	nil	0
"-1903363313"	"eastern_ship"	"attack_trade"	"Animations/CampaignPieces/east_campaign_ship_anim_unfurled_sink.anim"	"action"	"die_character_shoot"	nil	0
"-1883304718"	"default_human"	"attack_trade"	"Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Stand_to_Defence_Agent.anim"	"matched_action"	"assassinate"	nil	0
"-1736451290"	"rake"	"normal"	"Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Idle4.anim"	"idle"	nil	nil	1
"-1696124069"	"gentleman"	"normal"	"Animations/MEN/CAMPAIGN/CAM_GENTLEMAN/CAM_G_Idle4.anim"	"idle"	nil	nil	1
"-1690218237"	"missionary"	"normal"	"Animations/MEN/CAMPAIGN/CAM_MISSIONARY/CAM_M_Pistol_Death.anim"	"action"	"die_character_stab"	nil	0
"-1686905827"	"default_human"	"stealthy"	"Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Pistol_Death.anim"	"action"	"die_character_shoot"	nil	0
"-1625736043"	"scholar"	"normal"	"Animations/MEN/CAMPAIGN/CAM_SCHOLAR/CAM_S_Idle_3.anim"	"idle"	nil	nil	1
"-1608678350"	"scholar"	"normal"	"Animations/MEN/CAMPAIGN/CAM_SCHOLAR/CAM_S_Idle_4.anim"	"idle"	nil	nil	1
"-1590147014"	"rake"	"normal"	"Animations/MEN/CAMPAIGN/CAM_RAKE/CAM_R_Fire_Pistol.anim"	"action"	"kill_character_shoot"	nil	0
"-1587560678"	"default_human"	"stealthy"	"Animations/MEN/CAMPAIGN/CAM_CAPTAIN_ON_FOOT/CAM_C_Fire_Pistol.anim"	"action"	"kill_character_shoot"	nil	0
"-1578473180"	"eastern_ship"	"siege"	"Animations/CampaignPieces/east_campaign_ship_anim_unfurled_traderoute_idle.anim"	"idle"	nil	nil	1
