version 1, schema diplomacy_negotiation_strings_tables
diplomacy_action(string)	culture(string)	Government_system(string)	diplomacy_strings(string)
"accept_friendly"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_accept_friendly"
"accept_friendly"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_accept_friendly"
"accept_friendly"	"egy_european"	"gov_republic"	"european_republic_accept_friendly"
"accept_friendly"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_friendly"
"accept_friendly"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_friendly"
"accept_friendly"	"egy_middle_east"	"gov_republic"	"middle_east_republic_accept_friendly"
"accept_friendly"	"european"	"gov_absolute_monarchy"	"european_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_constitutional_monarchy"	"european_monarchy_accept_friendly"
"accept_friendly"	"european"	"gov_republic"	"european_republic_accept_friendly"
"accept_friendly"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_accept_friendly"
"accept_friendly"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_accept_friendly"
"accept_friendly"	"indian"	"gov_republic"	"indian_republic_accept_friendly"
"accept_friendly"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_friendly"
"accept_friendly"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_friendly"
"accept_friendly"	"middle_east"	"gov_republic"	"middle_east_republic_accept_friendly"
"accept_friendly"	"tribal"	"gov_absolute_monarchy"	"tribal_both_accept_friendly"
"accept_friendly"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_accept_friendly"
"accept_friendly"	"tribal"	"gov_republic"	"tribal_both_accept_friendly"
"accept_hostile"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_accept_hostile"
"accept_hostile"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_accept_hostile"
"accept_hostile"	"egy_european"	"gov_republic"	"european_republic_accept_hostile"
"accept_hostile"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_hostile"
"accept_hostile"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_hostile"
"accept_hostile"	"egy_middle_east"	"gov_republic"	"middle_east_republic_accept_hostile"
"accept_hostile"	"european"	"gov_absolute_monarchy"	"european_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_constitutional_monarchy"	"european_monarchy_accept_hostile"
"accept_hostile"	"european"	"gov_republic"	"european_republic_accept_hostile"
"accept_hostile"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_accept_hostile"
"accept_hostile"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_accept_hostile"
"accept_hostile"	"indian"	"gov_republic"	"indian_republic_accept_hostile"
"accept_hostile"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_hostile"
"accept_hostile"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_hostile"
"accept_hostile"	"middle_east"	"gov_republic"	"middle_east_republic_accept_hostile"
"accept_hostile"	"tribal"	"gov_absolute_monarchy"	"tribal_both_accept_hostile"
"accept_hostile"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_accept_hostile"
"accept_hostile"	"tribal"	"gov_republic"	"tribal_both_accept_hostile"
"accept_neutral"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_accept_neutral"
"accept_neutral"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_accept_neutral"
"accept_neutral"	"egy_european"	"gov_republic"	"european_republic_accept_neutral"
"accept_neutral"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_neutral"
"accept_neutral"	"egy_middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_neutral"
"accept_neutral"	"egy_middle_east"	"gov_republic"	"middle_east_republic_accept_neutral"
"accept_neutral"	"european"	"gov_absolute_monarchy"	"european_monarchy_accept_neutral"
"accept_neutral"	"european"	"gov_constitutional_monarchy"	"european_monarchy_accept_neutral"
"accept_neutral"	"european"	"gov_republic"	"european_republic_accept_neutral"
"accept_neutral"	"indian"	"gov_absolute_monarchy"	"indian_monarchy_accept_neutral"
"accept_neutral"	"indian"	"gov_constitutional_monarchy"	"indian_monarchy_accept_neutral"
"accept_neutral"	"indian"	"gov_republic"	"indian_republic_accept_neutral"
"accept_neutral"	"middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_neutral"
"accept_neutral"	"middle_east"	"gov_constitutional_monarchy"	"middle_east_monarchy_accept_neutral"
"accept_neutral"	"middle_east"	"gov_republic"	"middle_east_republic_accept_neutral"
"accept_neutral"	"tribal"	"gov_absolute_monarchy"	"tribal_both_accept_neutral"
"accept_neutral"	"tribal"	"gov_constitutional_monarchy"	"tribal_both_accept_neutral"
"accept_neutral"	"tribal"	"gov_republic"	"tribal_both_accept_neutral"
"accept_unfriendly"	"egy_european"	"gov_absolute_monarchy"	"european_monarchy_accept_unfriendly"
"accept_unfriendly"	"egy_european"	"gov_constitutional_monarchy"	"european_monarchy_accept_unfriendly"
"accept_unfriendly"	"egy_european"	"gov_republic"	"european_republic_accept_unfriendly"
"accept_unfriendly"	"egy_middle_east"	"gov_absolute_monarchy"	"middle_east_monarchy_accept_unfriendly"
