version 1, schema unit_regiment_names_tables, guid 8a90bc66-4b49-4314-b4fa-a696834ac46a
Regiment_Name(string)	Unit_x0020_Class(string)	unknown2(string)	unknown3(int)
"names_japanese"	"female_hero"	"female_hero_1"	1
"names_japanese"	"female_hero"	"female_hero_2"	2
"names_japanese"	"monk_hero"	"monk_hero_1"	1
"names_japanese"	"monk_hero"	"monk_hero_2"	2
"names_japanese"	"monk_hero"	"monk_hero_3"	3
"names_japanese"	"monk_hero"	"monk_hero_4"	4
"names_japanese"	"monk_hero"	"monk_hero_5"	5
"names_japanese"	"monk_hero"	"monk_hero_6"	6
"names_japanese"	"samurai_hero"	"samurai_hero_1"	1
"names_japanese"	"samurai_hero"	"samurai_hero_10"	10
"names_japanese"	"samurai_hero"	"samurai_hero_11"	11
"names_japanese"	"samurai_hero"	"samurai_hero_2"	2
"names_japanese"	"samurai_hero"	"samurai_hero_3"	3
"names_japanese"	"samurai_hero"	"samurai_hero_4"	4
"names_japanese"	"samurai_hero"	"samurai_hero_5"	5
"names_japanese"	"samurai_hero"	"samurai_hero_6"	6
"names_japanese"	"samurai_hero"	"samurai_hero_7"	7
"names_japanese"	"samurai_hero"	"samurai_hero_8"	8
"names_japanese"	"samurai_hero"	"samurai_hero_9"	9
