version 1, schema building_units_allowed_tables
Building_IDRef(string)	Unit(string)	Experience(int)	Unknown4(boolean)
"commercial_basin"	"barbary_xebec"	0	false
"commercial_port"	"barbary_xebec"	0	false
"drydock"	"barbary_xebec"	0	false
"dockyard"	"barbary_xebec"	0	false
"naval_hospital"	"barbary_xebec"	1	false
"steam_drydock"	"barbary_xebec"	0	false
"trading_company"	"barbary_xebec"	0	false
"governors_mansion"	"desert_warriors"	0	false
"governors_palace"	"desert_warriors"	0	false
"governors_residence"	"desert_warriors"	0	false
"imperial_palace"	"desert_warriors"	0	false
"magistrate"	"desert_warriors"	0	false
"minor_governors_barracks"	"desert_warriors"	0	false
"minor_governors_encampment"	"desert_warriors"	0	false
"minor_governors_mansion"	"desert_warriors"	0	false
"minor_governors_palace"	"desert_warriors"	0	false
"minor_governors_residence"	"desert_warriors"	0	false
"minor_magistrate"	"desert_warriors"	0	false
"minor_royal_palace"	"desert_warriors"	0	false
"prest_austria_hofburg"	"desert_warriors"	0	false
"prest_britain_somerset_house"	"desert_warriors"	0	false
"prest_france_palais_bourbon"	"desert_warriors"	0	false
"prest_maratha_shaniwarwada"	"desert_warriors"	0	false
"prest_russia_winter_palace"	"desert_warriors"	0	false
"prest_spain_palacio_real_de_madrid"	"desert_warriors"	0	false
"prest_sweden_slott"	"desert_warriors"	0	false
"prest_usa_independence_hall"	"desert_warriors"	0	false
"royal_palace"	"desert_warriors"	0	false
"governors_mansion"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"governors_palace"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"governors_residence"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"imperial_palace"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"minor_governors_barracks"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"minor_governors_encampment"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"minor_governors_mansion"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"minor_governors_palace"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"minor_governors_residence"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"minor_royal_palace"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_austria_hofburg"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_britain_somerset_house"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_france_palais_bourbon"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_maratha_shaniwarwada"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_russia_winter_palace"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_spain_palacio_real_de_madrid"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_sweden_slott"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"prest_usa_independence_hall"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"royal_palace"	"east_ethnic_musketmen_fellahin_musketeers"	0	false
"army_barracks"	"east_ethnic_swordsmen_fellahin"	0	false
"army_board"	"east_ethnic_swordsmen_fellahin"	1	false
"army_encampment"	"east_ethnic_swordsmen_fellahin"	0	false
"army_staff_college"	"east_ethnic_swordsmen_fellahin"	2	false
"drill_school"	"east_ethnic_swordsmen_fellahin"	0	false
"military_academy"	"east_ethnic_swordsmen_fellahin"	0	false
"minor_governors_barracks"	"east_ethnic_swordsmen_fellahin"	0	false
"minor_governors_encampment"	"east_ethnic_swordsmen_fellahin"	0	false
"minor_royal_palace"	"east_ethnic_swordsmen_fellahin"	1	false
"prest_france_arc_de_triomphe"	"east_ethnic_swordsmen_fellahin"	3	false
"prest_maratha_ajinkyatara"	"east_ethnic_swordsmen_fellahin"	3	false
"prest_poland_akademia"	"east_ethnic_swordsmen_fellahin"	3	false
"prest_prussia_brandenburg_gate"	"east_ethnic_swordsmen_fellahin"	3	false
"governors_mansion"	"east_ethnic_warriors_barbary_pirates"	0	false
"governors_palace"	"east_ethnic_warriors_barbary_pirates"	0	false
"governors_residence"	"east_ethnic_warriors_barbary_pirates"	0	false
"imperial_palace"	"east_ethnic_warriors_barbary_pirates"	0	false
"magistrate"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_governors_barracks"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_governors_encampment"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_governors_mansion"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_governors_palace"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_governors_residence"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_magistrate"	"east_ethnic_warriors_barbary_pirates"	0	false
"minor_royal_palace"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_austria_hofburg"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_britain_somerset_house"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_france_palais_bourbon"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_maratha_shaniwarwada"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_russia_winter_palace"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_spain_palacio_real_de_madrid"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_sweden_slott"	"east_ethnic_warriors_barbary_pirates"	0	false
"prest_usa_independence_hall"	"east_ethnic_warriors_barbary_pirates"	0	false
"royal_palace"	"east_ethnic_warriors_barbary_pirates"	0	false
