version 1, schema names_groups_tables, guid 6e20e884-c222-40a4-8166-7316886592ac
Name_groups_ID(string)	Name_groups(string)
"names_austrian"	"Austrian names"
"names_boshin"	"Boshin"
"names_boshin_american"	"American"
"names_boshin_british"	"British"
"names_boshin_french"	"French"
"names_chosokabe"	"Chosokabe names"
"names_date"	"Date names"
"names_fujiwara"	"Fujiwara names"
"names_hojo"	"Hojo names"
"names_iga"	"Iga names"
"names_ikko_ikki"	"Ikko Ikki names"
"names_japanese"	"Japanese names"
"names_minamoto"	"Minamoto names"
"names_mori"	"Mori names"
"names_oda"	"Oda names"
"names_portuguese"	"Portugese names"
"names_shimazu"	"Shimazu names"
"names_taira"	"Taira names"
"names_takeda"	"Takeda names"
"names_tokugawa"	"Tokugawa names"
"names_uesugi"	"Uesugi names"
