version 1, schema taxes_keys_tables
Class(string)	Tax_level_ID(string)	Tax_effect_x0020__x0028__x003F__x0029_(string)
"lower_classes"	"tax_extortionate"	"lower_extortionate"
"lower_classes"	"tax_high"	"lower_high"
"lower_classes"	"tax_low"	"lower_low"
"lower_classes"	"tax_minimal"	"lower_minimal"
"lower_classes"	"tax_normal"	"lower_normal"
"upper_classes"	"tax_extortionate"	"upper_extortionate"
"upper_classes"	"tax_high"	"upper_high"
"upper_classes"	"tax_low"	"upper_low"
"upper_classes"	"tax_minimal"	"upper_minimal"
"upper_classes"	"tax_normal"	"upper_normal"
