version 1, schema ministerial_effectiveness_modifiers_tables
Effectiveness_ID_x0020__x0028_corrospondents_x0020_to_x0020_ministerial_x0020_position_x0020_to_x0020_effect_x0020_table_x0029_(int)	Government_ID(string)	unknown3(float)
0	"gov_absolute_monarchy"	0
0	"gov_constitutional_monarchy"	0
0	"gov_republic"	0
1	"gov_absolute_monarchy"	0
1	"gov_constitutional_monarchy"	0
1	"gov_republic"	0
2	"gov_absolute_monarchy"	0
2	"gov_constitutional_monarchy"	0
2	"gov_republic"	0
3	"gov_absolute_monarchy"	0
3	"gov_constitutional_monarchy"	0
3	"gov_republic"	0
4	"gov_absolute_monarchy"	0
4	"gov_constitutional_monarchy"	0
4	"gov_republic"	0
5	"gov_absolute_monarchy"	0
5	"gov_constitutional_monarchy"	0
5	"gov_republic"	0
6	"gov_absolute_monarchy"	0
6	"gov_constitutional_monarchy"	0
6	"gov_republic"	0
7	"gov_absolute_monarchy"	0
7	"gov_constitutional_monarchy"	0
7	"gov_republic"	0
8	"gov_absolute_monarchy"	0
8	"gov_constitutional_monarchy"	0
8	"gov_republic"	0
9	"gov_absolute_monarchy"	0
9	"gov_constitutional_monarchy"	0
9	"gov_republic"	0
