version 2, schema trade_nodes_tables
unknown1(string)	unknown2(string)	unknown3(int)	unknown4(float)	unknown5(float)	unknown6(string)
"eur_aegean_sea_01"	"res_coffee"	20	0.85	50	"eur_mediterranean"
"eur_aegean_sea_02"	"res_coffee"	20	0.85	50	"eur_mediterranean"
"eur_atlantic_ocean_n_01"	"res_furs"	20	0.85	50	"eur_north_america"
"eur_atlantic_ocean_n_02"	"res_tobacco"	20	0.85	50	"eur_north_america"
"eur_atlantic_ocean_n_03"	"res_tobacco"	20	0.85	50	"eur_north_america"
"eur_atlantic_ocean_n_04"	"res_cotton"	20	0.85	50	"eur_north_america"
"eur_atlantic_ocean_n_05"	"res_cotton"	20	0.85	50	"eur_north_america"
"eur_atlantic_ocean_n_06"	"res_sugar"	20	0.85	50	"eur_south_america"
"eur_atlantic_ocean_n_07"	"res_sugar"	20	0.85	50	"eur_south_america"
"eur_atlantic_ocean_n_08"	"res_tea"	20	0.85	50	"eur_india"
"eur_atlantic_ocean_n_09"	"res_ivory"	20	0.85	50	"eur_africa"
"eur_atlantic_ocean_n_10"	"res_tea"	20	0.85	50	"eur_africa"
"eur_black_sea_01"	"res_furs"	20	0.85	50	"eur_black_sea"
"eur_black_sea_02"	"res_furs"	20	0.85	50	"eur_black_sea"
"eur_mediterranean_sea_01"	"res_ivory"	20	0.85	50	"eur_africa"
"eur_mediterranean_sea_02"	"res_coffee"	20	0.85	50	"eur_africa"
"eur_mediterranean_sea_03"	"res_coffee"	20	0.85	50	"eur_africa"
"eur_mediterranean_sea_04"	"res_spices"	20	0.85	50	"eur_africa"
"eur_tyrrhenian_sea_01"	"res_spices"	20	0.85	50	"eur_mediterranean"
"spa_atlantic_ocean_01"	"res_spices"	10	0.85	5.9	"eur_north_america"
"spa_atlantic_ocean_02"	"res_spices"	20	0.85	2.48	"eur_north_europe"
"spa_atlantic_ocean_03"	"res_spices"	10	0.85	5.9	"eur_south_america"
"spa_mediterranean_sea_01"	"res_spices"	10	0.85	5.9	"eur_mediterranean"
"spa_mediterranean_sea_02"	"res_spices"	20	0.85	2.48	"eur_mediterranean"
