version 1, schema ancillary_to_included_agents_tables
Ancillary_IDRef(string)	Agent_IDRef(string)
"Anc_Agent_Provocateur"	"gentleman"
"Anc_Artist_Playwright"	"minister"
"Anc_Artist_Portrait"	"General"
"Anc_Balloonist"	"General"
"Anc_Banker"	"minister"
"Anc_Beau"	"General"
"Anc_Biographer"	"minister"
"Anc_Boatswain"	"admiral"
"Anc_Bodyguard"	"admiral"
"Anc_Bodyguard"	"General"
"Anc_Book_Keeper"	"minister"
"Anc_Carpenter"	"admiral"
"Anc_Carpenter_Loony"	"admiral"
"Anc_Chaplain"	"minister"
"Anc_Classical_Scholar"	"gentleman"
"Anc_Commissioner_of_Public_Safety"	"minister"
"Anc_Cook"	"minister"
"Anc_Cornet"	"General"
"Anc_Cossack_Brave"	"General"
"Anc_Cossack_Drunken"	"General"
"Anc_Decorated_Hero"	"General"
"Anc_Dilletante"	"minister"
"Anc_Doctor_Quack"	"gentleman"
"Anc_Doctor_Quack"	"rake"
"Anc_Drummer"	"General"
"Anc_Duellist"	"gentleman"
"Anc_Duellist"	"rake"
"Anc_Election_Agent"	"minister"
"Anc_Excise_Man"	"minister"
"Anc_Factor"	"minister"
"Anc_Fake_Emir"	"minister"
"Anc_Fake_Native_Chief"	"minister"
"Anc_Family_Cousin_1"	"General"
"Anc_Family_Cousin_2"	"General"
"Anc_Family_Retainer"	"minister"
"Anc_Family_Son_In_Law"	"minister"
"Anc_Favourite_Charger"	"General"
"Anc_Fiddler"	"General"
"Anc_Financier"	"minister"
"Anc_Gen_Supply_Agent"	"General"
"Anc_Gov_Cryptographer"	"assassin"
"Anc_Gov_Cryptographer"	"rake"
"Anc_Gov_Customs_Officer"	"minister"
"Anc_Gov_Gardener_Royal"	"minister"
"Anc_Gov_Metropolitan"	"minister"
"Anc_Gov_Scandal_Writer"	"minister"
"Anc_Gov_Taxman_Crook"	"minister"
"Anc_Gov_Taxman_Honest"	"minister"
"Anc_Gov_Thieftaker_Honest"	"minister"
"Anc_Gov_Trader_Merchant"	"minister"
"Anc_Gov_Trader_Monopolist"	"minister"
"Anc_Gov_Trader_Ottoman"	"minister"
"Anc_Gov_Trader_Stock"	"minister"
"Anc_Governess"	"minister"
"Anc_Grand_Tourist"	"gentleman"
"Anc_Grizzled_Old_Sergeant"	"General"
"Anc_Gunsmith"	"gentleman"
"Anc_Gunsmith"	"rake"
"Anc_Hack"	"minister"
"Anc_Heroic_Saviour"	"admiral"
"Anc_Heroic_Saviour"	"Eastern_Scholar"
"Anc_Heroic_Saviour"	"General"
"Anc_Heroic_Saviour"	"gentleman"
"Anc_Highland_Servant"	"admiral"
"Anc_Highland_Servant"	"General"
"Anc_Highland_Servant"	"gentleman"
"Anc_Highland_Servant"	"rake"
"Anc_Highlander"	"gentleman"
"Anc_Highlander"	"rake"
"Anc_Impoverished_Nephew"	"gentleman"
"Anc_Instrument_Maker"	"gentleman"
"Anc_Islam_Alchemist"	"Eastern_Scholar"
"Anc_Islam_Alim"	"Eastern_Scholar"
"Anc_Islam_Astronomer"	"Eastern_Scholar"
"Anc_Islam_Brahmin"	"Eastern_Scholar"
"Anc_Islam_Convert"	"admiral"
"Anc_Islam_Convert"	"General"
"Anc_Islam_Corsair"	"admiral"
"Anc_Islam_Darwis"	"General"
"Anc_Islam_Fighter"	"admiral"
"Anc_Islam_Fighter"	"General"
"Anc_Islam_Heretic"	"minister"
"Anc_Islam_Judge"	"minister"
"Anc_Islam_Legal_Scholar_1"	"minister"
"Anc_Islam_Legal_Scholar_2"	"minister"
"Anc_Islam_Physician"	"assassin"
"Anc_Islam_Physician"	"Eastern_Scholar"
"Anc_Islam_Pious_Man"	"minister"
"Anc_Islam_Preacher"	"General"
