version 1, schema campaign_character_anim_set_agent_junctions_tables
some(string)	Character_Animation_Set_IDRef(string)	Agent_IDRef(optstring)	unknown1(optstring)
"1"	"rake"	"assassin"	nil
"2"	"default_ship"	"admiral"	nil
"3"	"rake"	"rake"	nil
"4"	"default_human"	"bandit"	nil
"5"	"default_ship"	"captain"	nil
"6"	"missionary"	"catholic_missionary"	nil
"7"	"default_human"	"colonel"	nil
"8"	"scholar"	"Eastern_Scholar"	nil
"9"	"default_human"	"General"	nil
"10"	"gentleman"	"gentleman"	nil
"11"	"missionary"	"indian_missionary"	nil
"12"	"missionary"	"middle_east_missionary"	nil
"13"	"default_human"	"minister"	nil
"14"	"missionary"	"orthodox_missionary"	nil
"15"	"default_ship"	"pirate"	nil
"16"	"missionary"	"Protestant_Missionary"	nil
"19"	"thugee"	"assassin"	"indian"
"21"	"eastern_ship"	"admiral"	"indian"
"22"	"eastern_ship"	"admiral"	"middle_east"
"23"	"eastern_ship"	"captain"	"indian"
"24"	"eastern_ship"	"captain"	"middle_east"
"25"	"eastern_ship"	"captain"	"tribal"
"26"	"scout"	"scout"	nil
"27"	"shaman"	"shaman"	nil
