version 1, schema building_level_required_technology_junctions_tables
Building_IDRef(string)	Tech_IDRef(string)
"army_board"	"military_army_reoganised_procurement"
"army_staff_college"	"military_army_platoon_firing"
"ceramics_factory"	"industry_metal_machine_tools"
"coffee_warehouse"	"enlightenment_division_of_labour"
"college"	"enlightenment_empiricism"
"commercial_basin"	"enlightenment_joint_stock_companies"
"commercial_port"	"enlightenment_division_of_labour"
"corn_clearances"	"industry_agriculture_four_field_crop_rotation"
"corn_great_estates"	"industry_agriculture_selective_breeding"
"corn_tenanted_farms"	"industry_agriculture_common_land_enclosures"
"cotton_warehouse"	"enlightenment_division_of_labour"
"dockyard"	"military_navy_naval_shore_facilities"
"drill_school"	"military_army_military_syllabus"
"drydock"	"military_navy_naval_architecture_advances"
"enlightened_university"	"enlightenment_rights_of_man"
"fur_exchange"	"enlightenment_joint_stock_companies"
"great_arsenal"	"military_ordnance_explosive_shells"
"gunnery_school"	"military_army_reoganised_procurement"
"industrial_gold_mining_complex"	"industry_metal_steam_engine"
"industrial_iron_mining_complex"	"industry_metal_steam_engine"
"industrial_silver_mining_complex"	"industry_metal_steam_engine"
"ironmasters_works"	"industry_metal_coke_blast_furnace"
"large_coffee_plantation"	"enlightenment_physiocracy"
"large_cotton_plantation"	"enlightenment_physiocracy"
"large_spices_plantation"	"enlightenment_physiocracy"
"large_sugar_plantation"	"enlightenment_physiocracy"
"large_tea_plantation"	"enlightenment_physiocracy"
"large_tobacco_plantation"	"enlightenment_physiocracy"
"military_academy"	"military_army_socket_bayonet"
"naval_board"	"military_navy_naval_shore_facilities"
"naval_college"	"military_navy_reformed_naval_administration"
"naval_hospital"	"military_navy_lime_juice_and_sauerkraut"
"ordnance_factory"	"military_ordnance_canister_shot"
"rice_farming_commune"	"industry_agriculture_four_field_crop_rotation"
"rice_farms"	"industry_agriculture_common_land_enclosures"
"royal_academy"	"enlightenment_secular_humanism"
"sheep_clearances"	"industry_agriculture_four_field_crop_rotation"
"sheep_great_estates"	"industry_agriculture_selective_breeding"
"sheep_tenanted_farms"	"industry_agriculture_common_land_enclosures"
"spices_warehouse"	"enlightenment_division_of_labour"
"steam_drydock"	"industry_metal_steam_engine"
"steam_engine_factory"	"industry_metal_steam_engine"
"steam-powered_cloth_mill"	"industry_metal_steam_engine"
"steam-powered_cloth_mill"	"industry_textile_power_loom"
"steam-powered_sugar_mill"	"industry_metal_steam_engine"
"steam-pumped_gold_mine"	"industry_metal_basic_steam_pump"
"steam-pumped_iron_mine"	"industry_metal_basic_steam_pump"
"steam-pumped_silver_mine"	"industry_metal_basic_steam_pump"
"sugar_warehouse"	"enlightenment_division_of_labour"
"tarmac_roads"	"industry_metal_measuring_tools"
"tea_warehouse"	"enlightenment_division_of_labour"
"timber_lumber_mill"	"industry_metal_machine_tools"
"tobacco_warehouse"	"enlightenment_division_of_labour"
"trading_company"	"enlightenment_free_trade_doctrine"
"tribal_playable_ancestral_ground"	"industry_agriculture_natives_culture_call_of_the_wild"
"tribal_playable_chiefs_lodge"	"industry_textile_natives_government_hunting_techniques"
"tribal_playable_confederation_of_tribes"	"industry_textile_natives_government_written_language"
"tribal_playable_drill_grounds"	"industry_metal_natives_military_ironworking"
"tribal_playable_fishing_fleet"	"industry_textile_natives_government_improved_fishing"
"tribal_playable_fur_market"	"industry_textile_natives_government_hunting_techniques"
"tribal_playable_gunsmith"	"industry_metal_natives_military_cannon_casting"
"tribal_playable_gunsmith"	"industry_metal_natives_military_improved_ironworking"
"tribal_playable_high_chiefs_lodge"	"industry_textile_natives_government_improved_farming"
"tribal_playable_holy_ground"	"industry_agriculture_natives_culture_spirit_of_the_forest"
"tribal_playable_horse_breeder"	"industry_metal_natives_military_winter_clothes"
"tribal_playable_iron_workshops"	"industry_metal_natives_military_ironworking"
"tribal_playable_practice_fields"	"industry_metal_natives_military_powder_making"
"tribal_playable_shamanic_gateway"	"industry_agriculture_natives_culture_spirit_medicine"
"tribal_playable_spiritual_circle"	"industry_agriculture_natives_culture_riding_the_winds"
"tribal_playable_warrior_lodge"	"industry_metal_natives_military_gun_dealing"
"tribal_playable_warrior_lodge"	"industry_textile_natives_government_hunting_techniques"
"university"	"enlightenment_utilitarianism"
"water-powered_cloth_mill"	"industry_textile_spinning_mule"
"wheat_clearances"	"industry_agriculture_four_field_crop_rotation"
"wheat_great_estates"	"industry_agriculture_selective_breeding"
"wheat_tenanted_farms"	"industry_agriculture_common_land_enclosures"
"wine_estates"	"industry_agriculture_advanced_irrigation"
"wineries"	"industry_agriculture_common_land_enclosures"
