version 1, schema warscape_animated_tables, guid 5ebb52ed-04d0-44b5-91d3-04ca91efb9e5
Filename_x0020_WA_ID(string)	Path(string)	Category(string)
"Ammo_Caisson_Austria_destruction"	"RigidModels/artillery/Textures"	"animation"
"Ammo_Caisson_Britain_destruction"	"RigidModels/artillery/Textures"	"animation"
"Ammo_Caisson_France_destruction"	"RigidModels/artillery/Textures"	"animation"
"Ammo_Caisson_Prussia_destruction"	"RigidModels/artillery/Textures"	"animation"
"Ammo_Caisson_Russia_destruction"	"RigidModels/artillery/Textures"	"animation"
"Ammo_Caisson_destruction"	"RigidModels/artillery/Textures"	"animation"
"Field_Cannon_12lb"	"EngineModels/Textures"	"animation"
"Field_Cannon_12lb_Austria"	"EngineModels/Textures_Austria"	"animation"
"Field_Cannon_12lb_Austria_destruction"	"EngineModels/Textures_Austria"	"animation"
"Field_Cannon_12lb_France"	"EngineModels/Textures_France"	"animation"
"Field_Cannon_12lb_France_destruction"	"EngineModels/Textures_France"	"animation"
"Field_Cannon_12lb_Prussia"	"EngineModels/Textures_Prussia"	"animation"
"Field_Cannon_12lb_Prussia_destruction"	"EngineModels/Textures_Prussia"	"animation"
"Field_Cannon_12lb_Russia"	"EngineModels/Textures_Russia"	"animation"
"Field_Cannon_12lb_Russia_destruction"	"EngineModels/Textures_Russia"	"animation"
"Field_Cannon_12lb_destruction"	"EngineModels/Textures"	"animation"
"Field_Cannon_6lb"	"Enginemodels/Textures"	"animation"
"Field_Cannon_6lb_Austria"	"Enginemodels/Textures_Austria"	"animation"
"Field_Cannon_6lb_Austria_destruction"	"EngineModels/Textures_Austria"	"animation"
"Field_Cannon_6lb_Britain"	"Enginemodels/Textures_Britain"	"animation"
"Field_Cannon_6lb_Britain_destruction"	"EngineModels/Textures_Britain"	"animation"
"Field_Cannon_6lb_France"	"Enginemodels/Textures_France"	"animation"
"Field_Cannon_6lb_France_destruction"	"EngineModels/Textures_France"	"animation"
"Field_Cannon_6lb_Prussia"	"Enginemodels/Textures_Prussia"	"animation"
"Field_Cannon_6lb_Prussia_destruction"	"EngineModels/Textures_Prussia"	"animation"
"Field_Cannon_6lb_Russia"	"Enginemodels/Textures_Russia"	"animation"
"Field_Cannon_6lb_Russia_destruction"	"EngineModels/Textures_Russia"	"animation"
"Field_Cannon_6lb_destruction"	"EngineModels/Textures"	"animation"
"Field_Cannon_8lb"	"EngineModels/Textures"	"animation"
"Field_Cannon_8lb_Destruction"	"EngineModels/Textures"	"animation"
"Field_Cannon_8lb_France"	"EngineModels/Textures_France"	"animation"
"Field_Cannon_8lb_France_Destruction"	"EngineModels/Textures_France"	"animation"
"Field_Cannon_9lb"	"EngineModels/Textures"	"animation"
"Field_Cannon_9lb_Britain"	"EngineModels/Textures_Britain"	"animation"
