version 1, schema unrest_cause_to_demands_tables
Cause(string)	Level(string)	Unknown1(string)	Unknown2(string)
"bankruptcy"	"letter_of_demand"	"change_government_head"	"region_demands_default"
"bankruptcy"	"riots"	"change_government_head"	"region_riots_default"
"bankruptcy"	"strikes"	"change_government_head"	"region_strikes_default"
"bankruptcy"	"ultimatum"	"change_government_head"	"region_demands_default"
"characters"	"letter_of_demand"	"change_government_head"	"region_demands_default"
"characters"	"riots"	"change_government_head"	"region_riots_royal_traits"
"characters"	"strikes"	"change_government_head"	"region_strikes_default"
"characters"	"ultimatum"	"change_government_head"	"region_demands_default"
"culture"	"letter_of_demand"	"return_to_old_faction"	"region_demands_default"
"culture"	"riots"	"return_to_old_faction"	"region_riots_default"
"culture"	"strikes"	"return_to_old_faction"	"region_strikes_default"
"culture"	"ultimatum"	"return_to_old_faction"	"region_demands_default"
"gentlemen"	"letter_of_demand"	"power_to_the_upper_classes"	"region_demands_restoration"
"gentlemen"	"riots"	"reforms"	"region_riots_reform"
"gentlemen"	"strikes"	"reforms"	"region_strikes_reform"
"gentlemen"	"ultimatum"	"power_to_the_upper_classes"	"region_demands_restoration"
"gov_type"	"letter_of_demand"	"power_to_the_upper_classes"	"region_demands_restoration"
"gov_type"	"riots"	"reforms"	"region_riots_reform"
"gov_type"	"strikes"	"reforms"	"region_strikes_reform"
"gov_type"	"ultimatum"	"power_to_the_upper_classes"	"region_demands_restoration"
"industrialisation"	"letter_of_demand"	"lower_taxes"	"region_demands_default"
"industrialisation"	"riots"	"lower_taxes"	"region_riots_luddites"
"industrialisation"	"strikes"	"lower_taxes"	"region_strikes_luddites"
"industrialisation"	"ultimatum"	"lower_taxes"	"region_demands_default"
"reform"	"letter_of_demand"	"power_to_the_upper_classes"	"region_demands_restoration"
"reform"	"riots"	"reforms"	"region_riots_reform"
"reform"	"strikes"	"reforms"	"region_strikes_reform"
"reform"	"ultimatum"	"power_to_the_upper_classes"	"region_demands_restoration"
"religion"	"letter_of_demand"	"religious_freedom"	"region_demands_default"
"religion"	"riots"	"religious_freedom"	"region_riots_religious_freedom"
"religion"	"strikes"	"religious_freedom"	"region_strikes_default"
"religion"	"ultimatum"	"religious_freedom"	"region_demands_default"
"resistance"	"letter_of_demand"	"return_to_old_faction"	"region_demands_default"
"resistance"	"riots"	"return_to_old_faction"	"region_riots_cultural_differences"
"resistance"	"strikes"	"return_to_old_faction"	"region_strikes_cultural_differences"
"resistance"	"ultimatum"	"return_to_old_faction"	"region_demands_default"
"taxes"	"letter_of_demand"	"lower_taxes"	"region_demands_taxes"
"taxes"	"riots"	"lower_taxes"	"region_riots_taxes"
"taxes"	"strikes"	"lower_taxes"	"region_strikes_taxes"
"taxes"	"ultimatum"	"lower_taxes"	"region_demands_taxes"
"war"	"letter_of_demand"	"end_war"	"region_demands_relations_war"
"war"	"riots"	"end_war"	"region_riots_relations_war"
"war"	"strikes"	"end_war"	"region_strikes_relations_war"
"war"	"ultimatum"	"end_war"	"region_demands_relations_war"
"alignment"	"strikes"	"religious_freedom"	"region_strikes_default"
"alignment"	"riots"	"religious_freedom"	"region_riots_default"
"alignment"	"ultimatum"	"religious_freedom"	"region_demands_default"
"alignment"	"letter_of_demand"	"religious_freedom"	"region_demands_default"
