version 1, schema ancillary_types_tables
Ancillary_Type_ID(string)	Picture_Path(string)
"army_officer"	"army_officer.tga"
"bedouin"	"bedouin.tga"
"bishop"	"bishop.tga"
"black_servant"	"black_servant.tga"
"clerk_type_servant"	"clerk_type_servant.tga"
"comedy_transvestite"	"comedy_transvestite.tga"
"cow"	"cow.tga"
"craftsman"	"craftsman.tga"
"dog"	"dog.tga"
"duelling_pistols"	"duelling_pistols.tga"
"elephant"	"elephant.tga"
"florid_nobleman"	"florid_nobleman.tga"
"gorgeous_floozy"	"gorgeous_floozy.tga"
"grizzly_adams"	"grizzly_adams.tga"
"horse"	"horse.tga"
"hussar_officer"	"hussar_officer.tga"
"inbred_relative"	"inbred_relative.tga"
"indian_in_turban"	"indian_in_turban.tga"
"inventor"	"inventor.tga"
"loony"	"loony.tga"
"masked_figure"	"masked_figure.tga"
"matronly_woman"	"matronly_woman.tga"
"monkey"	"monkey.tga"
"naval_officer"	"naval_officer.tga"
"north_american_indian"	"north_american_indian.tga"
"parrot"	"parrot.tga"
"PH"	"placeholder.tga"
"pocketwatch"	"pocketwatch.tga"
"professional_servant"	"professional_servant.tga"
"ratfaced_servant"	"ratfaced_servant.tga"
"sailor"	"sailor.tga"
"scottish_thug"	"scottish_thug.tga"
"sergeant"	"sergeant.tga"
"spaniel"	"spaniel.tga"
"sword"	"sword.tga"
"thuggish_servant"	"thuggish_servant.tga"
"tiger"	"tiger.tga"
"turk_with_turban"	"turk_with_turban.tga"
"turk_with_turban_nobeard"	"turk_with_turban_nobeard.tga"
"wealthy_merchant"	"wealthy_merchant.tga"
"youth"	"youth.tga"
"war_bonnet"	"war_bonnet.tga"
"battle_lance"	"battle_lance.tga"
"coup_stick"	"coup_stick.tga"
"freed_slave_female"	"freed_slave_female.tga"
"freed_slave_male"	"freed_slave_male.tga"
"hunting_rifle"	"hunting_rifle.tga"
"medicine_pouch"	"medicine_pouch.tga"
"peace_pipe"	"peace_pipe.tga"
"pony"	"pony.tga"
"tomahawk"	"tomahawk.tga"
