version 1, schema ministerial_positions_to_effects_tables, guid 1e7bc4d2-6645-4496-bf29-297ef5cd00da
Ministerial_position(string)	Efectiveness_ID(int)	ministerial_Effect_ID(string)	Value1(int)	unknown5(int)
"bos_1_inspector_general"	0	"bos_minister_construction_cost_global"	0	1
"bos_1_inspector_general"	1	"bos_minister_construction_cost_global"	-2	1
"bos_1_inspector_general"	2	"bos_minister_construction_cost_global"	-4	1
"bos_1_inspector_general"	3	"bos_minister_construction_cost_global"	-6	1
"bos_1_inspector_general"	3	"bos_minister_conversion_global"	1	1
"bos_1_inspector_general"	4	"bos_minister_construction_cost_global"	-8	1
"bos_1_inspector_general"	4	"bos_minister_conversion_global"	1	1
"bos_1_inspector_general"	5	"bos_minister_construction_cost_global"	-10	1
"bos_1_inspector_general"	5	"bos_minister_conversion_global"	2	1
"bos_1_inspector_general"	6	"bos_minister_construction_cost_global"	-12	1
"bos_1_inspector_general"	6	"bos_minister_conversion_global"	2	1
"bos_2_comptroller"	0	"bos_minister_growth_global"	0	1
"bos_2_comptroller"	1	"bos_minister_growth_global"	1	1
"bos_2_comptroller"	2	"bos_minister_growth_global"	2	1
"bos_2_comptroller"	3	"bos_minister_growth_global"	3	1
"bos_2_comptroller"	3	"bos_minister_upkeep_global"	-3	1
"bos_2_comptroller"	4	"bos_minister_growth_global"	4	1
"bos_2_comptroller"	4	"bos_minister_upkeep_global"	-6	1
"bos_2_comptroller"	5	"bos_minister_growth_global"	5	1
"bos_2_comptroller"	5	"bos_minister_upkeep_global"	-9	1
"bos_2_comptroller"	6	"bos_minister_growth_global"	6	1
"bos_2_comptroller"	6	"bos_minister_upkeep_global"	-12	1
"bos_3_chief_staff"	0	"bos_minister_agent_success_global"	0	1
"bos_3_chief_staff"	1	"bos_minister_agent_success_global"	2	1
"bos_3_chief_staff"	2	"bos_minister_agent_success_global"	4	1
"bos_3_chief_staff"	3	"bos_minister_agent_success_global"	6	1
"bos_3_chief_staff"	3	"bos_minister_max_agent_cap_global"	1	1
"bos_3_chief_staff"	4	"bos_minister_agent_success_global"	8	1
"bos_3_chief_staff"	4	"bos_minister_max_agent_cap_global"	1	1
"bos_3_chief_staff"	5	"bos_minister_agent_success_global"	10	1
"bos_3_chief_staff"	5	"bos_minister_max_agent_cap_global"	2	1
"bos_3_chief_staff"	6	"bos_minister_agent_success_global"	12	1
"bos_3_chief_staff"	6	"bos_minister_max_agent_cap_global"	3	1
"bos_4_commander_chief"	0	"bos_minister_recruitment_cost_global"	0	1
"bos_4_commander_chief"	1	"bos_minister_recruitment_cost_global"	-2	1
"bos_4_commander_chief"	2	"bos_minister_recruitment_cost_global"	-4	1
"bos_4_commander_chief"	3	"bos_minister_recruitment_cost_global"	-6	1
"bos_4_commander_chief"	3	"bos_minister_replenishment_global"	2	1
"bos_4_commander_chief"	4	"bos_minister_recruitment_cost_global"	-8	1
"bos_4_commander_chief"	4	"bos_minister_replenishment_global"	4	1
"bos_4_commander_chief"	5	"bos_minister_recruitment_cost_global"	-10	1
"bos_4_commander_chief"	5	"bos_minister_replenishment_global"	6	1
"bos_4_commander_chief"	6	"bos_minister_recruitment_cost_global"	-12	1
"bos_4_commander_chief"	6	"bos_minister_replenishment_global"	8	1
"clan_development"	0	"building_cost_mod_all_global"	0	1
"clan_development"	1	"building_cost_mod_all_global"	-2	1
"clan_development"	2	"building_cost_mod_all_global"	-4	1
"clan_development"	3	"building_cost_mod_all_global"	-6	1
"clan_development"	4	"building_cost_mod_all_global"	-8	1
"clan_development"	5	"building_cost_mod_all_global"	-10	1
"clan_development"	6	"building_cost_mod_all_global"	-12	1
"clan_finance"	0	"tax_bonus_minister"	0	1
"clan_finance"	1	"tax_bonus_minister"	1	1
"clan_finance"	2	"tax_bonus_minister"	2	1
"clan_finance"	3	"tax_bonus_minister"	3	1
"clan_finance"	4	"tax_bonus_minister"	4	1
"clan_finance"	5	"tax_bonus_minister"	5	1
"clan_finance"	6	"tax_bonus_minister"	6	1
"clan_supplies"	0	"mod_unit_replenishment_all"	0	1
"clan_supplies"	1	"mod_unit_replenishment_all"	1	1
"clan_supplies"	2	"mod_unit_replenishment_all"	2	1
"clan_supplies"	3	"mod_unit_replenishment_all"	3	1
"clan_supplies"	4	"mod_unit_replenishment_all"	4	1
"clan_supplies"	5	"mod_unit_replenishment_all"	5	1
"clan_supplies"	6	"mod_unit_replenishment_all"	6	1
"clan_warfare"	0	"tech_unit_land_cost_mod"	0	1
"clan_warfare"	1	"tech_unit_land_cost_mod"	-2	1
"clan_warfare"	2	"tech_unit_land_cost_mod"	-4	1
"clan_warfare"	3	"tech_unit_land_cost_mod"	-6	1
"clan_warfare"	4	"tech_unit_land_cost_mod"	-8	1
"clan_warfare"	5	"tech_unit_land_cost_mod"	-10	1
"clan_warfare"	6	"tech_unit_land_cost_mod"	-12	1
