version 2, schema projectiles_tables
Projectile_ID(string)	Type(string)	Shot_x0020_Type(string)	Missile_x0020_Type(string)	Model(optstring)	Projectile_Explosion_IDRef(optstring)	Trail(optstring)	Spin(string)	Number_of_Pellets(int)	In_x0020_Flight_x0020_Transition(optstring)	Trajectory_x0020_Sight(string)	Range(int)	Minimum_x0020_Range(int)	Max_x0020_Elevation(int)	Velocity(float)	Marksmanship_x0020_Bonus(float)	Maximum_deviance_x0020_from_0_to_360(float)	Damage(float)	Damage_x0020_Range_effectiveness(optstring)	Incendiary(optstring)	Blast_x0020_Effect(optstring)	Can_x0020_Bounce(boolean)	High_x0020_Air_x0020_Resistance(boolean)	Collision_x0020_Radius(float)	Base_Reload__x0020_Time_x0020__x0023_Added_to_animation(int)	Base_x0020_Misfire_x0020_Chance(int)	Weather_x0020_Effect(optstring)	Sail_x0020_Damage_x0020_Modifier(float)	Below_x0020_Waterline_x0020_Damage_x0020_Modifier(float)	Launch_x0020_Audio(string)	Hit_x0020_Audio(string)	Launch_x0020_Particle_x0020_Effect(optstring)	Projectile_x0020_Trail_x0020_Particle_x0020_Effect(optstring)	Impact(optstring)	Gun_x0020_Type(optstring)
"airgun"	"missile"	"air_pellet"	"bullet"	"projectile_musketball"	nil	"alpha_shrapnel"	"none"	1	nil	"low"	125	0	88	150	0	0	0.75	nil	nil	nil	false	false	0.1	8	6	nil	0.1	0	"airgun"	"small"	nil	nil	"musket_ball"	"airgun"
"bow"	"missile"	"arrow"	"arrow"	"projectile_arrow"	nil	"alpha_shrapnel"	"none"	1	nil	"low"	100	0	88	35	0	0	0.75	nil	nil	nil	false	false	0.1	8	0	"low"	0.1	0	"bow"	"small"	nil	nil	"musket_ball"	"none"
"bow_tutorial"	"missile"	"arrow"	"arrow"	"projectile_arrow"	nil	"alpha_shrapnel"	"none"	1	"n"	"low"	80	0	88	35	0	0	0.1	nil	nil	nil	false	false	0.1	8	0	"low"	0.1	0	"bow"	"small"	nil	nil	"musket_ball"	"none"
"camel_gun_shot"	"missile"	"bullet"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	1	nil	"low"	90	0	30	100	0	0	0.99	"ap"	"low"	"impact"	false	false	0.1	28	0	nil	0.1	0	"gun"	"medium"	"MusketFire"	nil	"musket_ball"	"camel_gun"
"cannon_12_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	65	nil	"low"	150	0	25	150	0	8	1	"effective_range_based"	nil	nil	false	false	0.1	25	0	"medium"	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"cannon_12_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	600	0	30	250	0	0	30	"low"	"low"	"impact"	true	false	0.1	25	0	"medium"	0.1	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"cannon_18_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	65	nil	"low"	150	0	25	150	0	8	1	"effective_range_based"	nil	nil	false	false	0.1	25	0	nil	0.2	0	"gun"	"small"	"LandGunFire_canister"	nil	"musket_ball"	"cannon"
"cannon_18_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	600	0	30	250	0	0	35	"low"	"low"	"impact"	true	false	0.1	25	0	nil	0.1	0	"gun"	"large"	"LandGunFire"	nil	"default_ball"	"cannon"
"cannon_6_pounder_cannister"	"artillery"	"canister"	"bullet"	"projectile_musketball"	nil	"alpha_bullet"	"none"	35	"n"	"low"	120	0	25	150	0	4	1	"effective_range_based"	nil	nil	false	false	0.1	15	0	nil	0.2	0	"gun"	"small"	"LandGunFire_small"	nil	"musket_ball"	"cannon"
"cannon_6_pounder_shot"	"artillery"	"round_shot"	"cannon_ball"	"projectile_cannonbal"	nil	"alpha"	"none"	1	nil	"low"	450	0	30	250	0	0	20	"low"	"low"	"impact"	true	false	0.1	15	0	nil	0.1	0	"gun"	"medium"	"LandGunFire_small"	nil	"default_ball"	"cannon"
