version 1, schema _kv_rules_tables
Key(string)	Value(float)
"armour_melee_penetrating_divisor"	0.01
"armour_melee_piercing_divisor"	1
"armour_missile_penetrating_divisor"	1
"armour_missile_piercing_divisor"	2
"artillery_projectile_calibration_target_area"	205
"attackpower_extreme_range_multplier"	0.6
"attackpower_long_range_multiplier"	0.8
"bayonet_melee_attack_bonus"	3
"bayonet_ring_reload_time_penalty"	1
"broadsides_damage_modifier"	1
"defense_melee_penetrating_divisor"	0.01
"defense_melee_piercing_divisor"	1
"defense_missile_penetrating_divisor"	1
"defense_missile_piercing_divisor"	1
"factor_attackdir_flankleft"	20
"factor_attackdir_flankright"	20
"factor_attackdir_front"	0
"factor_attackdir_rear"	30
"fire_and_advance_reload_modifier"	0
"fire_on_walls_accuracy_modifier"	0
"fire_on_walls_range_modifier"	45
"fire_on_walls_reload_modifier"	0
"firing_drill_improved_platoon_fire_reload_modifier"	40
"firing_drill_mass_fire_reload_modifier"	140
"firing_drill_platoon_fire_reload_modifier"	0
"firing_drill_rank_fire_reload_modifier"	0
"hnbonus_bayonet"	-3
"hnbonus_melee_cavalry_v_infantry"	0
"hnbonus_melee_cavalry_v_squareinfantry"	-60
"land_mortar_projectile_calibration_target_area"	750
"magazine_explosion_interrupt_chance"	0
"melee_charge_factor_power_divisor"	1
"melee_entrenchement_level_multiplier"	1
"melee_height_delta_max"	1.1
"melee_height_delta_min"	-0.1
"melee_hn_to_xholds_0_max"	18
"melee_hn_to_xholds_1_max"	12
"melee_hn_to_xholds_2_max"	6
"melee_hn_to_xholds_3_max"	24
"melee_xholds_knockback_0"	3
"melee_xholds_knockback_1"	58
"melee_xholds_knockback_2"	112
"melee_xholds_knockback_3"	118
"melee_xholds_knockback_4"	123
"melee_xholds_knockdown_0"	5
"melee_xholds_knockdown_1"	60
"melee_xholds_knockdown_2"	115
"melee_xholds_knockdown_3"	122
"melee_xholds_knockdown_4"	125
"melee_xholds_stepback_0"	8
"melee_xholds_stepback_1"	33
"melee_xholds_stepback_2"	138
"melee_xholds_stepback_3"	243
"melee_xholds_stepback_4"	348
"misfire_cannon_flintlock"	0.01
"misfire_cannon_matchlock"	0.02
"misfire_musket_flintlock"	0
"misfire_musket_matchlock"	0
"misfire_musket_percussion_cap"	0.1
"missile_cover_factor_excellent"	1
"missile_cover_factor_good"	1
"missile_cover_factor_none"	1
"missile_cover_factor_slight"	1
"missile_cover_factor_some"	1
"missile_distance_for_half_chance_hit"	200
"missile_distance_for_half_chance_hit_artillery"	620
"missile_distance_for_half_chance_hit_naval"	55
"missile_hn_to_xholds_0_max"	18
"missile_hn_to_xholds_1_max"	12
"missile_hn_to_xholds_2_max"	6
"missile_hn_to_xholds_3_max"	24
"missile_xholds_knockdown_0"	2
"missile_xholds_knockdown_1"	9
"missile_xholds_knockdown_2"	24
"missile_xholds_knockdown_3"	59
"missile_xholds_knockdown_4"	96
"naval_projectile_calibration_target_area"	35
"projectile_calibration_target_area"	60
"projectile_damage_armour_divisor"	1
"projectile_damage_defense_divisor"	40
"projectile_damage_distance_multiplier"	20
"projectile_damage_shield_divisor"	40
"projectile_incendiary_chance_high"	0.003
"projectile_incendiary_chance_low"	0.001
"projectile_incendiary_chance_medium"	0.002
"relative_melee_experience_multiplier"	2
"relative_melee_fatigue_multiplier"	3
"relative_melee_height_delta_divisor"	0.03
"ship_bonus_close_mod"	1.25
"ship_bonus_range"	60
"ship_penalty_far_mod"	0.3
"ship_penalty_range"	100
