version 1, schema building_effects_junction_tables, guid f65a0a55-fa7a-4052-a17d-97c166e84b96
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"GEM_Buddhist_1_Buddhist_Sanctuary"	"gem_agent_availability_quality_monk"	1
"GEM_Buddhist_1_Buddhist_Sanctuary"	"happy_culture_all"	1
"GEM_Buddhist_2_Buddhist_Temple"	"gem_agent_availability_quality_monk"	1
"GEM_Buddhist_2_Buddhist_Temple"	"gem_mod_unit_xp_warrior_monks"	1
"GEM_Buddhist_2_Buddhist_Temple"	"happy_culture_all"	2
"GEM_Buddhist_3_Buddhist_Monastery"	"gem_agent_availability_quality_monk"	1
"GEM_Buddhist_3_Buddhist_Monastery"	"gem_agent_xp_mod_monk"	1
"GEM_Buddhist_3_Buddhist_Monastery"	"gem_mod_unit_xp_warrior_monks"	1
"GEM_Buddhist_3_Buddhist_Monastery"	"happy_culture_all"	3
"GEM_Buddhist_4_Famous_Buddhist_Temple"	"gem_agent_availability_quality_monk"	1
"GEM_Buddhist_4_Famous_Buddhist_Temple"	"gem_agent_xp_mod_monk"	1
"GEM_Buddhist_4_Famous_Buddhist_Temple"	"gem_mod_unit_xp_warrior_monks"	2
"GEM_Buddhist_4_Famous_Buddhist_Temple"	"happy_culture_all"	4
"GEM_Buff_1_Encampment"	"recruitment_cost_mod_local"	-10
"GEM_Buff_2_Armoury"	"gem_mod_unit_armour_all"	1
"GEM_Buff_2_Armoury"	"recruitment_cost_mod_local"	-10
"GEM_Buff_2_Hunting_Lodge"	"mod_unit_accuracy_all_local"	6
"GEM_Buff_2_Hunting_Lodge"	"recruitment_cost_mod_local"	-10
"GEM_Buff_2_Proving_Grounds"	"gem_mod_unit_melee_all_local"	3
"GEM_Buff_2_Proving_Grounds"	"recruitment_cost_mod_local"	-10
"GEM_Bushi_3_Bushi_Dojo"	"gem_mod_unit_recruit_time_bushi"	-1
"GEM_Bushi_4_Legendary_Bushi_Dojo"	"gem_mod_unit_recruit_time_bushi"	-1
"GEM_Castle_1_Town"	"castle_slot_addition"	0
"GEM_Castle_1_Town"	"food_consumption"	1
"GEM_Castle_2_Stronghold"	"castle_slot_addition"	0
"GEM_Castle_2_Stronghold"	"food_consumption"	2
"GEM_Castle_2_Stronghold"	"gem_castle_walls_level_1"	0
"GEM_Castle_3_Fort"	"castle_slot_addition"	0
"GEM_Castle_3_Fort"	"food_consumption"	3
"GEM_Castle_3_Fort"	"gem_castle_walls_level_2"	0
"GEM_Castle_4_Castle"	"castle_slot_addition"	0
"GEM_Castle_4_Castle"	"food_consumption"	4
"GEM_Castle_4_Castle"	"gem_castle_walls_level_3"	0
"GEM_Castle_4_Castle"	"repression_building"	1
"GEM_Clan_1_Shinden"	"gem_agent_availability_quality_dancer"	1
"GEM_Clan_1_Shinden"	"gem_conversion_clan_influence"	2
"GEM_Clan_1_Shinden"	"tax_bonus_building"	5
"GEM_Clan_2_Mandokoro"	"gem_agent_availability_quality_dancer"	1
"GEM_Clan_2_Mandokoro"	"gem_conversion_clan_influence"	3
"GEM_Clan_2_Mandokoro"	"tax_bonus_building"	10
"GEM_Clan_3_Province_Magistrate"	"gem_agent_availability_quality_dancer"	1
"GEM_Clan_3_Province_Magistrate"	"gem_conversion_clan_influence"	4
"GEM_Clan_3_Province_Magistrate"	"tax_bonus_building"	15
"GEM_Clan_4_Fujiwara_Palace"	"gem_agent_availability_quality_dancer"	1
"GEM_Clan_4_Fujiwara_Palace"	"gem_agent_xp_mod_dancer"	1
"GEM_Clan_4_Fujiwara_Palace"	"gem_conversion_clan_influence_gem_fujiwara"	5
"GEM_Clan_4_Fujiwara_Palace"	"gem_conversion_clan_influence_osmosis_gem_fujiwara"	1
"GEM_Clan_4_Fujiwara_Palace"	"tax_bonus_building"	20
"GEM_Clan_4_Minamoto_Palace"	"gem_agent_availability_quality_dancer"	1
"GEM_Clan_4_Minamoto_Palace"	"gem_agent_xp_mod_dancer"	1
"GEM_Clan_4_Minamoto_Palace"	"gem_conversion_clan_influence_gem_minamoto"	5
"GEM_Clan_4_Minamoto_Palace"	"gem_conversion_clan_influence_osmosis_gem_minamoto"	1
"GEM_Clan_4_Minamoto_Palace"	"tax_bonus_building"	20
