version 1, schema units_to_groupings_military_permissions_tables, guid e1c851d9-114d-4e74-bfd7-99edfe952abf
Unit_IDRef(string)	Military_x0020_Group(string)
"Art_European_Cannons_MP"	"multiplayer_avatar"
"Art_European_Cannons"	"christian_rebels"
"Art_European_Cannons"	"japan"
"Art_Fire_Projecting_Mangonels_MP"	"multiplayer_avatar"
"Art_Fire_Projecting_Mangonels"	"buddhist_rebels"
"Art_Fire_Projecting_Mangonels"	"christian_rebels"
"Art_Fire_Projecting_Mangonels"	"ikko_ikki"
"Art_Fire_Projecting_Mangonels"	"japan"
"Art_Large_Shafted_Fire_Rockets_MP"	"multiplayer_avatar"
"Art_Large_Shafted_Fire_Rockets"	"buddhist_rebels"
"Art_Large_Shafted_Fire_Rockets"	"christian_rebels"
"Art_Large_Shafted_Fire_Rockets"	"ikko_ikki"
"Art_Large_Shafted_Fire_Rockets"	"japan"
"Boshin_Art_Armstrong_Guns_MP"	"multiplayer_boshin_avatar"
"Boshin_Art_Armstrong_Guns"	"boshin"
"Boshin_Art_Gatling_Guns_MP"	"multiplayer_boshin_avatar"
"Boshin_Art_Gatling_Guns"	"boshin"
"Boshin_Art_Parrot_Guns_MP"	"multiplayer_boshin_avatar"
"Boshin_Art_Parrot_Guns"	"boshin"
"Boshin_Art_Wooden_Cannons_MP"	"multiplayer_boshin_avatar"
"Boshin_Art_Wooden_Cannons"	"boshin"
"Boshin_Art_Wooden_Cannons"	"boshin_rebels"
"Boshin_Cav_Missile_Bow_Ki_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Missile_Bow_Ki"	"boshin"
"Boshin_Cav_Missile_Carbine_Cavalry_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Missile_Carbine_Cavalry"	"boshin"
"Boshin_Cav_Missile_Imperial_Guard_Cavalry_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"boshin"
"Boshin_Cav_Missile_Revolver_Cavalry_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Missile_Revolver_Cavalry"	"boshin"
"Boshin_Cav_Missile_Revolver_Cavalry"	"boshin_rebels"
"Boshin_Cav_Missile_Samurai_Hero_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Missile_Samurai_Hero"	"boshin"
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"boshin"
"Boshin_Cav_Spear_Yari_Ki_MP"	"multiplayer_boshin_avatar"
"Boshin_Cav_Spear_Yari_Ki"	"boshin"
"Boshin_Cav_Spear_Yari_Ki"	"boshin_rebels"
"Boshin_Cav_Sword_Republican_Guard_Cavalry"	"boshin"
