version 2, schema cultures_tables, guid c75446e4-9385-482e-9a0a-497613481d6d
Culture_ID(string)	Unknown1(int)	unknown2(int)	Culture_IDRef(optstring)
"PIR_european"	1239187140	0	"european"
"PIR_natives"	-1238887790	-1	"european"
"PIR_pirates"	-223977355	-1	"european"
"SHO_japanese"	1249291570	0	nil
"egy_european"	232665311	0	"european"
"egy_middle_east"	1249291542	0	"middle_east"
"european"	1	0	nil
"gfd"	1249291545	0	"fds"
"indian"	5	0	"middle_east"
"japanese"	1249291575	0	"japanese"
"middle_east"	2	0	"indian"
"tribal"	3	0	"european"
