version 1, schema effect_bonus_value_resource_junction_tables, guid 2ed0f19f-091d-4546-8f07-b0bda920298c
effect_id(string)	Bonus_effect_ID(string)	Resource_category(string)
"commodity_prod_bos_coal"	"production"	"res_bos_coal"
"commodity_prod_bos_copper"	"production"	"res_bos_copper"
"commodity_prod_bos_cotton"	"production"	"res_bos_cotton"
"commodity_prod_bos_iron"	"production"	"res_bos_iron"
"commodity_prod_bos_machines"	"production"	"res_bos_machines"
"commodity_prod_bos_silk"	"production"	"res_bos_silk"
"commodity_prod_bos_tea"	"production"	"res_bos_tea"
"commodity_prod_sho_cotton"	"production"	"res_sho_cotton"
"commodity_prod_sho_crafts"	"production"	"res_sho_crafts"
"commodity_prod_sho_horses"	"production"	"res_sho_horses"
"commodity_prod_sho_iron"	"production"	"res_sho_iron"
"commodity_prod_sho_silk"	"production"	"res_sho_silk"
"commodity_prod_sho_spice"	"production"	"res_sho_medicine"
"commodity_prod_sho_stone"	"production"	"res_sho_stone"
"commodity_prod_sho_wood"	"production"	"res_sho_wood"
"gem_commodity_prod_crafts"	"production"	"res_gem_crafts"
"gem_commodity_prod_incense"	"production"	"res_sho_medicine"
"gem_commodity_prod_iron"	"production"	"res_gem_iron"
"gem_commodity_prod_silk"	"production"	"res_gem_silk"
"gem_commodity_prod_texts"	"production"	"res_gem_scrolls"
"gem_commodity_prod_wood"	"production"	"res_gem_wood"
