version 1, schema start_pos_family_relationships_tables, guid 3a12801e-8102-4080-bf32-96434387a505
unknown1(int)	unknown2(int)	unknown3(string)
2140780836	2140780838	"child"
2140780853	2140780851	"child"
2140780854	2140780852	"child"
2140780857	2140780855	"child"
2140780858	2140780856	"child"
2140780889	2140780887	"child"
2140780906	2140780904	"child"
2140780914	2140780912	"child"
2140780940	2140780828	"child"
2140780941	2140780828	"child"
2140780942	2140780838	"child"
2140780943	2140780838	"child"
2140780947	2140780829	"child"
2140780948	2140780829	"child"
2140780949	2140780829	"child"
2140780950	2140780830	"child"
2140780951	2140780830	"child"
2140780952	2140780830	"child"
2140780953	2140780834	"child"
2140780955	2140780840	"sibling"
2140780956	2140780840	"sibling"
2140780957	2140780840	"child"
2140780958	2140780832	"child"
2140780962	2140780916	"child"
2140780963	2140780887	"child"
2140780964	2140780900	"child"
2140780965	2140780900	"child"
2140780966	2140780904	"sibling"
2140780967	2140780860	"child"
2140780968	2140780883	"child"
2140781007	2140780828	"spouse"
2140781008	2140780829	"spouse"
2140781012	2140780830	"spouse"
2140781020	2140780950	"spouse"
2140781023	2140780834	"spouse"
2140781027	2140780840	"spouse"
2140781049	2140780832	"spouse"
2140781059	2140780838	"spouse"
2140781069	2140780845	"spouse"
2140781078	2140780849	"spouse"
2140781085	2140780855	"spouse"
2140781091	2140780851	"spouse"
2140781105	2140780852	"spouse"
2140781111	2140780862	"spouse"
2140781112	2140780864	"spouse"
2140781115	2140780877	"spouse"
2140781124	2140780856	"spouse"
2140781127	2140780860	"spouse"
2140781132	2140780866	"spouse"
2140781135	2140780868	"spouse"
2140781141	2140780872	"spouse"
2140781151	2140780875	"spouse"
2140781157	2140780881	"spouse"
2140781164	2140780885	"spouse"
2140781174	2140780883	"spouse"
2140781177	2140780895	"spouse"
2140781178	2140780903	"spouse"
2140781179	2140780887	"spouse"
2140781187	2140780893	"spouse"
2140781188	2140780891	"spouse"
2140781194	2140780890	"spouse"
2140781204	2140780892	"spouse"
2140781210	2140780894	"spouse"
2140781214	2140780898	"spouse"
2140781221	2140780900	"spouse"
2140781230	2140780902	"spouse"
2140781233	2140780904	"spouse"
2140781240	2140780908	"spouse"
2140781243	2140780909	"spouse"
2140781251	2140780911	"spouse"
2140781260	2140780910	"spouse"
2140781261	2140780912	"spouse"
2140781264	2140780916	"spouse"
2140781269	2140780907	"spouse"
2140781275	2140780918	"spouse"
2140781335	2140780959	"child"
2140781352	2140780840	"child"
2140781374	2140780959	"sibling"
2140781392	2140780959	"spouse"
2140781420	2140780844	"child"
2140781424	2140780844	"spouse"
2140781431	2140780844	"sibling"
2140781434	2140780844	"sibling"
2140781457	2140780893	"child"
2140781465	2140780832	"child"
2140781472	2140780844	"child"
2140781474	2140780842	"sibling"
2140781487	2140780937	"sibling"
2140781514	2140780845	"child"
2140781519	2140780845	"child"
2140781537	2140780849	"child"
2140781555	2140780851	"child"
2140781559	2140780862	"child"
2140781563	2140780864	"child"
2140781570	2140780877	"child"
2140781578	2140780866	"child"
2140781587	2140780903	"child"
2140781597	2140780890	"child"
2140781606	2140780890	"child"
2140781613	2140780892	"child"
2140781614	2140780892	"child"
2140781615	2140780902	"child"
2140781618	2140780902	"child"
2140781623	2140780898	"child"
2140781631	2140780910	"child"
2140781641	2140780910	"child"
2140781642	2140780916	"child"
2140781644	2140780918	"child"
2140781652	2140780907	"child"
2140781655	2140780895	"child"
2140781670	2140780894	"child"
2140781694	2140781689	"spouse"
2140781703	2140781689	"sibling"
