version 1, schema warscape_animated_lod_tables, guid 6d09607a-831a-43a6-8034-3d14d595ae1a
Random_Index(string)	Path(string)	Meters_to_x0020_Lod_transition(float)	Filename_x0020_WA_ID(string)
"-1003070685"	"EngineModels/Howitzer_6/Howitzer_6_alphatest_LOD2.animatable_rigid_model"	20	"howitzer_6_France"
"-1015952326"	"UnitModels\\horse\\horse_F_artillery_lod1.variant_weighted_mesh"	10	"horse_artillery_brown"
"-1019376725"	"EngineModels/Rocket/rocket_LOD3.animatable_rigid_model"	30	"rocket_Prussia"
"-1027402588"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD1.animatable_rigid_model"	10	"Field_Cannon_12lb_Russia"
"-1047289707"	"RigidModels/artillery/Limber/limber_model_alphatest_lod1.animatable_rigid_model"	10	"limber_model_Russia"
"-1050016499"	"EngineModels/Unicorn_20/Unicorn_20_alphatest_LOD1.animatable_rigid_model"	10	"unicorn_20_Russia"
"-1054309693"	"UnitModels\\horse\\horse_B_artillery_lod2.variant_weighted_mesh"	20	"horse_artillery_grey"
"-1059578823"	"RigidModels\\CampaignTradeRoutes\\campaign_landtrade_villager_anim.rigid_model_v2"	0	"campaign_trader_villager"
"-1066656910"	"EngineModels/Field_Cannon_6lb/field_cannon_6lb_destruction.rigid_model_animation"	0	"Field_Cannon_6lb_Britain_destruction"
"-1070795042"	"UnitModels/Euro_Able_Seamen_LOD4.variant_weighted_mesh"	0	"euro_able_seamen"
"-1079773456"	"EngineModels/Field_Cannon_6lb/field_cannon_6lb_destruction.rigid_model_animation"	0	"Field_Cannon_6lb_Prussia_destruction"
"-1086172040"	"unitmodels/euro_admiral_lod2.variant_weighted_mesh"	10	"euro_admiral"
"-1089158270"	"UnitModels\\horse\\horse_F_basic_lod1.variant_weighted_mesh"	10	"horse_basic_brown"
"-1114486870"	"UnitModels\\campaign_Washington_lod2.variant_weighted_mesh"	0	"campaign_washington"
"-1120652524"	"unitmodels/ottoman_colonel_lod2.variant_weighted_mesh"	10	"ottoman_naval_officer"
"-1122184608"	"EngineModels/Rocket/rocket_LOD3.animatable_rigid_model"	30	"rocket_Austria"
"-1123122096"	"EngineModels/Field_Cannon_9lb/Field_Cannon_9lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_9lb_Britain"
"-1123700851"	"EngineModels/Naval_Cannon_18lb/Naval_Cannon_18lb_LOD4.animatable_rigid_model"	0	"Naval_Cannon_18lb"
"-1150313943"	"EngineModels/Field_Cannon_8lb/Field_Cannon_8lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_8lb"
"-1153608690"	"UnitModels\\horse\\horse_C_hussar_lod1.variant_weighted_mesh"	10	"horse_hussar_black"
"-1157707357"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD2.animatable_rigid_model"	20	"Field_Cannon_12lb"
"-1182710987"	"UnitModels\\horse\\horse_A_basic_lod4.variant_weighted_mesh"	0	"horse_basic_light_brown"
"-1191593624"	"UnitModels/camel/camel_base_lod3.variant_weighted_mesh"	50	"camel_base"
"-1198030248"	"EngineModels/Naval_Cannon_6lb/Naval_Cannon_6lb_LOD3.animatable_rigid_model"	30	"Naval_Cannon_6lb"
"-1217136990"	"EngineModels/Rocket/rocket_large_LOD3.animatable_rigid_model"	30	"rocket_only"
"-1229992013"	"unitmodels/euro_admiral_lod1.variant_weighted_mesh"	5	"euro_admiral"
"-1250799366"	"UnitModels\\horse\\horse_D_hussar_lod1.variant_weighted_mesh"	10	"horse_hussar_dark_brown"
"-1251844664"	"EngineModels/Field_Cannon_12lb/Field_Cannon_12lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_12lb_Prussia"
"-1254990611"	"EngineModels/Rocket/rocket_LOD4.animatable_rigid_model"	0	"rocket_Russia"
"-1262888534"	"EngineModels/Unicorn_20/Unicorn_20_alphatest_LOD3.animatable_rigid_model"	0	"unicorn_20"
"-1268846794"	"EngineModels/Field_Cannon_8lb/Field_Cannon_8lb_LOD3.animatable_rigid_model"	0	"Field_Cannon_8lb"
"-1272598175"	"UnitModels\\horse\\horse_B_hussar_lod4.variant_weighted_mesh"	0	"horse_hussar_grey"
"-1276830062"	"EngineModels/Rocket/rocket_LOD2.animatable_rigid_model"	20	"rocket_Prussia"
"-1285968414"	"EngineModels/Howitzer_5/Howitzer_5_alphatest_LOD1.animatable_rigid_model"	10	"Howitzer_5"
"-1285980147"	"EngineModels/Mortar/mortar_destruction.rigid_model_animation"	0	"mortar_destruction"
"-1309155864"	"UnitModels\\campaign_Washington_Young_lod2.variant_weighted_mesh"	0	"campaign_washington_young"
"-1334271779"	"EngineModels/Howitzer_7/Howitzer_7_alphatest_LOD1.animatable_rigid_model"	10	"howitzer_7"
"-1338422169"	"EngineModels/Ott_Field_Cannon_18lb/Ottoman_Field_Cannon_18lb_LOD2.animatable_rigid_model"	20	"Ott_Field_Cannon_18lb"
"-1364323722"	"EngineModels/Ott_Mortar/Ottoman_mortar_LOD1.animatable_rigid_model"	10	"Ott_mortar"
"-1367492106"	"RigidModels/artillery/Limber/limber_destruction.rigid_model_animation"	0	"Ammo_Caisson_France_destruction"
"-1374743178"	"UnitModels/camel/ncs_camel_luggage_lod1.variant_weighted_mesh"	0	"ncs_camel"
"-138126743"	"EngineModels/Naval_Cannon_24lb/Naval_Cannon_24lb_LOD4.animatable_rigid_model"	0	"Naval_Cannon_24lb"
"-1382399091"	"UnitModels\\horse\\horse_E_covered_lod4.variant_weighted_mesh"	0	"horse_covered_white"
