version 1, schema character_traits_tables
Trait_ID(string)	Unknown1(int)	Unknown2(boolean)	Unknown3(int)	Trait_Category(string)
"C_Admiral_Attacker_Bad"	3	false	4	"Naval"
"C_Admiral_Attacker_Good"	3	false	7	"Naval"
"C_Admiral_Bad"	4	false	7	"Naval"
"C_Admiral_Blockade_Runner_Good"	3	false	4	"Naval"
"C_Admiral_Blockader_Good"	3	false	7	"Naval"
"C_Admiral_Boring_Speaker"	2	false	5	"Personal"
"C_Admiral_Born_Sailor"	1	false	9	"Naval"
"C_Admiral_Brave"	3	false	7	"Naval"
"C_Admiral_British_Drakes_Drum"	1	false	1	"Character Quirk"
"C_Admiral_Coward"	3	false	7	"Naval"
"C_Admiral_Cruisers"	2	false	7	"Naval"
"C_Admiral_Defender_Bad"	3	false	5	"Naval"
"C_Admiral_Defender_Good"	3	false	7	"Naval"
"C_Admiral_Drunkard"	4	false	9	"Personal"
"C_Admiral_Dutch_Seamanship"	1	false	9	"Military"
"C_Admiral_Good"	3	false	9	"Naval"
"C_Admiral_Lampooned"	1	false	1	"Personal"
"C_Admiral_Mad"	2	false	5	"Character Quirk"
"C_Admiral_Martinet"	1	false	1	"Character Quirk"
"C_Admiral_Mathematician"	1	false	9	"Personal"
"C_Admiral_Press_Hero"	1	false	1	"Personal"
"C_Admiral_Rated_Ships"	2	false	7	"Naval"
"C_Admiral_Slacker"	1	false	1	"Character Quirk"
"C_Admiral_Sobriety"	1	false	6	"Personal"
"C_Admiral_Spanish_National_Pride"	1	false	9	"Military"
"C_Admiral_Swashbuckling"	1	false	8	"Naval"
"C_Agent_Secret_Police"	1	false	6	"Espionage"
"C_Agent_Spy_Network"	1	false	6	"Espionage"
"C_Feck_Vice"	1	false	1	"Personal"
"C_General_Ambush_Good"	3	false	5	"Military"
"C_General_Ambusher_Bad"	3	false	5	"Military"
"C_General_Americas_Bad"	2	false	5	"Military"
"C_General_Americas_Good"	2	false	5	"Military"
"C_General_Attacker_Bad"	3	false	4	"Military"
"C_General_Attacker_Good"	3	false	5	"Military"
"C_General_Austrian_Hates_Ottomans"	1	false	9	"Military"
"C_General_Bad_Field_Commander"	4	false	7	"Military"
"C_General_Bloody"	1	false	6	"Military"
"C_General_Born_Soldier"	1	false	9	"Military"
"C_General_Brave"	3	false	7	"Military"
"C_General_Coward"	3	false	7	"Military"
"C_General_Defender_Bad"	3	false	4	"Military"
"C_General_Defender_Good"	3	false	5	"Military"
"C_General_Drunkard"	4	false	9	"Personal"
"C_General_French_Elan"	1	false	9	"Military"
"C_General_Good_Field_Commander"	3	false	9	"Military"
"C_General_India_Bad"	2	false	5	"Military"
"C_General_India_Good"	2	false	5	"Military"
"C_General_Lampooned"	1	false	1	"Personal"
"C_General_Mad"	2	false	7	"Character Quirk"
"C_General_Marine_Bad"	3	false	5	"Naval"
"C_General_Marine_Good"	3	false	5	"Naval"
"C_General_Martinet"	1	false	1	"Military"
"C_General_Mughal_Anti_European"	1	false	9	"Military"
"C_General_of_Artillery"	3	false	6	"Military"
"C_General_of_Cavalry"	3	false	6	"Military"
"C_General_of_Infantry"	3	false	6	"Military"
"C_General_Polish_Stubborn"	1	false	9	"Military"
"C_General_Press_Hero"	1	false	1	"Personal"
"C_General_Prussian_Blue"	1	false	1	"Military"
"C_General_Russian_Vodka"	1	false	9	"Military"
"C_General_Scout"	1	false	4	"Military"
"C_General_Siege_Attack_Bad"	3	false	5	"Military"
"C_General_Siege_Attack_Good"	3	false	5	"Military"
"C_General_Siege_Defend_Bad"	3	false	5	"Military"
"C_General_Siege_Defend_Good"	3	false	5	"Military"
"C_General_Slacker"	1	false	1	"Character Quirk"
"C_General_Swedish_Aggression"	1	false	9	"Military"
"C_General_Turkish_Master_Gunner"	1	false	9	"Military"
"C_General_US_Backwoodsman"	1	false	1	"Military"
"C_General_Warlord"	1	false	1	"Military"
"C_Gent_Academic_Honours"	1	false	1	"Technology"
"C_Gent_Duelling_Pistol"	4	false	7	"Personal"
"C_Gent_Duelling_Sword"	4	false	7	"Personal"
"C_Gent_Research_Agriculture"	1	false	9	"Technology"
"C_Gent_Research_Economics"	1	false	9	"Technology"
"C_Gent_Research_Industry"	1	false	9	"Technology"
"C_Gent_Research_Military"	1	false	9	"Technology"
"C_Gent_Research_Navy"	1	false	9	"Technology"
"C_Gent_Research_Philosophy"	1	false	9	"Technology"
"C_Gent_Science_Club"	1	false	0	"Technology"
"C_Honourable_Service"	1	false	9	"Personal"
"C_Infected_Cholera"	2	false	9	"Personal"
"C_Infected_Dengue_Fever"	1	false	9	"Personal"
"C_Infected_Dysentry"	1	false	9	"Personal"
"C_Infected_Influenza"	1	false	9	"Personal"
