version 1, schema names_tables
Name_ID(string)	Unknown1(string)	Type(string)	Unknown2(string)	Unknown3(int)	Unknown4(boolean)	Unknown5(string)
"names_austrian"	"Dagobert Sigmund"	"forename"	"m"	0	false	"-513009002"
"names_austrian"	"von Wurmser"	"surname"	"m"	0	false	"-144478113"
"names_danish"	"Adriansen"	"surname"	"b"	1	false	"-446398471"
"names_danish"	"Åge"	"forename"	"m"	1	false	"-344457768"
"names_danish"	"Åke"	"forename"	"m"	1	false	"1881648889"
"names_danish"	"Algot"	"forename"	"m"	1	false	"1415356532"
"names_danish"	"Anders"	"forename"	"m"	1	false	"-2101912513"
"names_danish"	"Andersen"	"surname"	"b"	1	false	"2128884934"
"names_danish"	"Anker"	"forename"	"m"	1	false	"-445617051"
"names_danish"	"Anna"	"forename"	"f"	1	false	"1807746165"
"names_danish"	"Any"	"surname"	"b"	1	false	"688335567"
"names_danish"	"Arge"	"surname"	"b"	1	false	"-1887928220"
"names_danish"	"Arne"	"forename"	"m"	1	false	"912640962"
"names_danish"	"Arneborg"	"surname"	"b"	1	false	"-1601672811"
"names_danish"	"Ase"	"forename"	"f"	1	false	"955479151"
"names_danish"	"Assenbjerg"	"surname"	"b"	1	false	"51801394"
"names_danish"	"Auken"	"surname"	"b"	1	false	"-2087969333"
"names_danish"	"Axel"	"forename"	"m"	1	false	"-874786540"
"names_danish"	"Bau"	"surname"	"b"	1	false	"-1104830800"
"names_danish"	"Beck"	"surname"	"b"	1	false	"1966015729"
"names_danish"	"Bekker"	"surname"	"b"	1	false	"519332958"
"names_danish"	"Bernt"	"forename"	"m"	1	false	"-9603130"
"names_danish"	"Berthelsen"	"surname"	"b"	1	false	"-996009849"
"names_danish"	"Billes"	"surname"	"b"	1	false	"-246965828"
"names_danish"	"Binzer"	"surname"	"b"	1	false	"-2135626227"
"names_danish"	"Birgo"	"forename"	"m"	1	false	"-346338322"
"names_danish"	"Bjørn"	"forename"	"m"	1	false	"-1418388197"
"names_danish"	"Blach"	"surname"	"b"	1	false	"804095562"
"names_danish"	"Bo"	"forename"	"m"	1	false	"1534877632"
"names_danish"	"Bock"	"surname"	"b"	1	false	"1944524547"
"names_danish"	"Bogedal"	"surname"	"b"	1	false	"-267666040"
"names_danish"	"Bondo"	"surname"	"b"	1	false	"2019066089"
"names_danish"	"Bonnikson"	"surname"	"b"	1	false	"413138678"
"names_danish"	"Borge"	"surname"	"b"	1	false	"-2102340289"
"names_danish"	"Børge"	"forename"	"m"	1	false	"48452801"
"names_danish"	"Botilda"	"forename"	"f"	1	false	"-299421308"
"names_danish"	"Brahe"	"surname"	"b"	1	false	"762058260"
"names_danish"	"Brandhorst"	"surname"	"b"	1	false	"953538949"
"names_danish"	"Broberg"	"surname"	"b"	1	false	"-1488668062"
"names_danish"	"Broder"	"forename"	"m"	1	false	"985935063"
"names_danish"	"Brondun"	"surname"	"b"	1	false	"1426640699"
"names_danish"	"Burmeister"	"surname"	"b"	1	false	"-998543520"
"names_danish"	"Cabble"	"surname"	"b"	1	false	"1740821473"
"names_danish"	"Carlsen"	"surname"	"b"	1	false	"-1696897906"
"names_danish"	"Carstensen"	"surname"	"b"	1	false	"845693175"
"names_danish"	"Ceder"	"surname"	"b"	1	false	"829511020"
"names_danish"	"Charlotte"	"forename"	"f"	1	false	"-472219864"
"names_danish"	"Christensen"	"surname"	"b"	1	false	"-1028977667"
"names_danish"	"Christer"	"forename"	"m"	1	false	"880523397"
"names_danish"	"Christian"	"forename"	"m"	1	false	"-1446580894"
"names_danish"	"Christiansen"	"surname"	"b"	1	false	"-1290376838"
"names_danish"	"Clahn"	"surname"	"b"	1	false	"439625331"
"names_danish"	"Claussen"	"surname"	"b"	1	false	"326505528"
"names_danish"	"Colding"	"surname"	"b"	1	false	"2011946457"
"names_danish"	"Crumlin"	"surname"	"b"	1	false	"-150538970"
