version 1, schema diplomatic_relations_religion_tables
Religion_ID(string)	Religion_ID_x0020__x0028_2_x0029_(string)	DiplomaticBonus(int)	UnrestPenalty(float)
"rel_animist"	"rel_animist"	10	0
"rel_animist"	"rel_buddhist"	0	0.025
"rel_animist"	"rel_catholic"	-5	0.025
"rel_animist"	"rel_hindu"	0	0.025
"rel_animist"	"rel_islamic"	-5	0.025
"rel_animist"	"rel_nonconformist"	0	0.025
"rel_animist"	"rel_orthodox"	0	0.025
"rel_animist"	"rel_protestant"	0	0.025
"rel_animist"	"rel_sikh"	0	0.025
"rel_buddhist"	"rel_animist"	0	0.02
"rel_buddhist"	"rel_buddhist"	10	0
"rel_buddhist"	"rel_catholic"	0	0.02
"rel_buddhist"	"rel_hindu"	5	0.02
"rel_buddhist"	"rel_islamic"	-5	0.02
"rel_buddhist"	"rel_nonconformist"	0	0.02
"rel_buddhist"	"rel_orthodox"	0	0.02
"rel_buddhist"	"rel_protestant"	0	0.02
"rel_buddhist"	"rel_sikh"	0	0.02
"rel_catholic"	"rel_animist"	-10	0.1
"rel_catholic"	"rel_buddhist"	0	0.05
"rel_catholic"	"rel_catholic"	20	0
"rel_catholic"	"rel_hindu"	0	0.025
"rel_catholic"	"rel_islamic"	-15	0.075
"rel_catholic"	"rel_nonconformist"	-10	0.025
"rel_catholic"	"rel_orthodox"	0	0.015
"rel_catholic"	"rel_protestant"	-5	0.025
"rel_catholic"	"rel_sikh"	0	0.05
"rel_hindu"	"rel_animist"	-5	0.05
"rel_hindu"	"rel_buddhist"	0	0.05
"rel_hindu"	"rel_catholic"	-5	0.05
"rel_hindu"	"rel_hindu"	10	0
"rel_hindu"	"rel_islamic"	-15	0.05
"rel_hindu"	"rel_nonconformist"	0	0.05
"rel_hindu"	"rel_orthodox"	0	0.05
"rel_hindu"	"rel_protestant"	0	0.05
"rel_hindu"	"rel_sikh"	-5	0.05
"rel_islamic"	"rel_animist"	0	0.1
"rel_islamic"	"rel_buddhist"	0	0.05
"rel_islamic"	"rel_catholic"	-15	0.1
"rel_islamic"	"rel_hindu"	-10	0.075
"rel_islamic"	"rel_islamic"	30	0
"rel_islamic"	"rel_nonconformist"	-5	0.1
"rel_islamic"	"rel_orthodox"	-5	0.05
"rel_islamic"	"rel_protestant"	-5	0.1
"rel_islamic"	"rel_sikh"	-10	0.05
"rel_nonconformist"	"rel_animist"	0	0.1
