version 1, schema movie_event_strings_tables, guid 1f7d8773-2aa3-4281-8b44-0ff6ff0ad733
Event_message(string)	culture_ID(string)	Video(string)	Value(string)
"agent_geisha"	"japanese"	"Training/Agent/UNL-XXX-UNLO-GEI-XXX-XXX.bik"	"397"
"agent_metsuke"	"japanese"	"Training/Agent/UNL-XXX-UNLO-MET-XXX-XXX.bik"	"403"
"agent_missionary"	"japanese"	"Training/Agent/UNL-XXX-UNLO-PRI-XXX-XXX.bik"	"422"
"agent_monk"	"japanese"	"Training/Agent/UNL-XXX-UNLO-MON-XXX-XXX.bik"	"411"
"agent_ninja"	"japanese"	"Training/Agent/UNL-XXX-UNLO-NIN-XXX-XXX.bik"	"414"
"become_shogun_cho"	"japanese"	"Faction/Event/DAI_SHO_CHO.bik"	"641"
"become_shogun_dat"	"japanese"	"Faction/Event/DAI_SHO_DAT.bik"	"638"
"become_shogun_hoj"	"japanese"	"Faction/Event/DAI_SHO_HOJ.bik"	"631"
"become_shogun_iga"	"japanese"	"Faction/Event/DAI_SHO_IGA.bik"	"622"
"become_shogun_iko"	"japanese"	"Faction/Event/DAI_SHO_IKO.bik"	"727"
"become_shogun_mor"	"japanese"	"Faction/Event/DAI_SHO_MOR.bik"	"617"
"become_shogun_oda"	"japanese"	"Faction/Event/DAI_SHO_ODA.bik"	"612"
"become_shogun_shi"	"japanese"	"Faction/Event/DAI_SHO_SHI.bik"	"611"
"become_shogun_tak"	"japanese"	"Faction/Event/DAI_SHO_TAK.bik"	"610"
"become_shogun_tok"	"japanese"	"Faction/Event/DAI_SHO_TOK.bik"	"607"
"become_shogun_ues"	"japanese"	"Faction/Event/DAI_SHO_UES.bik"	"597"
"become_shogun"	"japanese"	"Faction/Event/DAI_SHO.bik"	"62"
"bos_allegiance_loss_emperor"	"japanese"	"FallOfTheSamurai/FALL_LOSE_EMPEROR.bik"	"859"
"bos_allegiance_loss_self"	"japanese"	"FallOfTheSamurai/FALL_LOSE_SELF.bik"	"852"
"bos_allegiance_loss_shogun"	"japanese"	"FallOfTheSamurai/FALL_LOSE_SHOGUN.bik"	"848"
"bos_allegiance_win_emperor"	"japanese"	"FallOfTheSamurai/FALL_WIN_EMPEROR.bik"	"845"
"bos_allegiance_win_self"	"japanese"	"FallOfTheSamurai/FALL_WIN_SELF.bik"	"837"
"bos_allegiance_win_shogun"	"japanese"	"FallOfTheSamurai/FALL_WIN_SHOGUN.bik"	"836"
"bos_defeat_enemy"	"japanese"	"FallOfTheSamurai/FALL_DEFEAT_ENEMY.bik"	"868"
"bos_first_rail"	"japanese"	"FallOfTheSamurai/FALL_FIRST_RAIL.bik"	"862"
"bos_realm_divide_emperor"	"japanese"	"FallOfTheSamurai/FALL_REALMDIV_EMPEROR.bik"	"826"
